CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
MI-519,Holland/Ottawa County CoC,387,165,39,183,177,57,22,98,202,108,17,77,0,0,0,379,165
MI-523,Eaton County CoC,126,72,10,44,42,21,1,20,69,45,7,17,0,0,0,111,66
MN-500,Minneapolis/Hennepin County CoC, 3731 , 1,361 ,329, 2,041 , 2,510 ,999,174, 1,337 , 1,011 ,355,149,507
MN-501,Saint Paul/Ramsey County CoC, 1500 ,514,206,780,712,180,85,447,720,330,118,272,0,0,0, 1,432 
MN-502,Rochester/Southeast Minnesota CoC,482,229,52,201,222,86,25,111,236,140,23,73,0,0,0,458,226
MN-503, Dakota Anoka Washington Scott Carver Counties ,735,301,97,337,254,94,32,128,383,190,47,146,0,0,0,637,284
MN-504,Northeast Minnesota CoC,200,71,43,86,9,3,3,3,57,29,5,23,0,0,0,66,32
MN-505,St. Cloud/Central Minnesota CoC,607,159,96,352,235,74,17,144,265,80,46,139,0,0,0,500,154
MN-506,Northwest Minnesota CoC,299,129,44,126,159,62,10,87,121,60,31,30,0,0,0,280,122
MN-508,Moorhead/West Central Minnesota CoC,214,66,13,135,145,34,4,107,58,32,5,21,0,0,0,203,66
MN-509,Duluth/St.Louis County CoC,429,117,75,237,116,22,12,82,189,90,43,56,0,0,0,305,112
MN-511,Southwest Minnesota CoC,180,87,28,65,52,24,6,22,128,63,22,43,0,0,0,180,87
MO-500,St. Louis County CoC,402,150,70,182,164,81,19,64,183,67,43,73,0,0,0,347,148
MO-501,St.Louis City CoC, 1354 ,426,73,855,641,172,26,443,598,249,43,306,19,0,19, 1,258 
MO-503, St. Charles City & County Lincoln Warren Counties CoC ,896,315,107,474,463,209,42,212,151,41,28,82,0,0,0,614,250
MO-600, Springfield/Greene Christian Webster Counties CoC ,656,117,42,497,249,41,2,206,323,76,36,211,0,0,0,572,117
MO-602, Joplin/Jasper Newton Counties CoC ,315,99,30,186,120,25,11,84,161,72,17,72,0,0,0,281,97
MO-603, St. Joseph/Andrew Buchanan DeKalb Counties CoC ,200,55,11,134,113,25,6,82,63,30,5,28,18,0,18,194,55
MO-604a, Kansas City Independence Leeâ€™s Summit/Jackson Wyandotte Counties MO & KS , 2,193 ,368,135, 1,690 ,966,81,48,837,941,273,55,613,11,4,7
MO-606,Missouri Balance of State CoC, 1528 ,456,146,926,853,282,73,498,480,130,48,302,8,0,8, 1,341 
MS-500, Jackson/Rankin Madison Counties CoC ,846,124,103,619,232,49,28,155,279,75,38,166,0,0,0,511,124
MS-501,Mississippi Balance of State CoC,954,183,59,712,343,57,19,267,357,103,30,224,0,0,0,700,160
MS-503,Gulf Port/Gulf Coast Regional CoC,426,48,22,356,157,31,8,118,37,17,2,18,0,0,0,194,48
MT-500,Montana Statewide CoC, 1745 ,354,232, 1,159 ,471,83,42,346,440,169,40,231,0,0,0,911
NC-500,Winston-Salem/Forsyth County CoC,515,64,27,424,414,58,24,332,82,6,2,74,0,0,0,496,64
NC-501,Asheville/Buncombe County CoC,530,36,21,473,237,27,12,198,228,9,4,215,0,0,0,465,36
NC-502,Durham City & County CoC,811,108,39,664,337,38,18,281,421,70,21,330,0,0,0,758,108
NC-503,North Carolina Balance of State CoC, 3195 ,749,271, 2,175 , 1,813 ,426,154, 1,233 ,695,233,47,415,0,0
NC-504, Greensboro High Point CoC ,897,174,77,646,452,69,40,343,346,105,33,208,0,0,0,798,174
NC-505,Charlotte/Mecklenberg CoC, 2014 ,535,151, 1,328 , 1,045 ,249,81,715,805,280,62,463,0,0,0
NC-506, Wilmington/Brunswick New Hanover Pender Counties CoC ,321,40,27,254,163,18,18,127,71,18,2,51,0,0,0,234,36
NC-507,Raleigh/Wake County CoC, 1170 ,228,90,852,718,112,57,549,328,100,27,201,0,0,0, 1,046 
NC-509, Gastonia/Cleveland Gaston Lincoln Counties CoC ,423,67,38,318,183,41,20,122,49,5,8,36,0,0,0,232,46
NC-511,Fayetteville/Cumberland County CoC,653,178,73,402,104,10,22,72,164,75,18,71,0,0,0,268,85
NC-513,Chapel Hill/Orange County CoC,108,17,3,88,73,0,2,71,26,17,0,9,0,0,0,99,17
NC-516,Northwest North Carolina CoC,854,352,211,291,92,19,15,58,28,7,3,18,0,0,0,120,26
ND-500,North Dakota Statewide CoC, 1258 ,217,129,912,639,128,66,445,155,41,26,88,0,0,0,794,169
NE-500,Nebraska Balance of State CoC,560,192,70,298,203,63,26,114,320,127,43,150,0,0,0,523,190
NE-501, Omaha Council Bluffs CoC , 1,630 ,345,145, 1,140 , 1,041 ,174,91,776,563,159,53,351,0,0
NE-502,Lincoln CoC,836,228,96,512,340,77,30,233,450,151,64,235,0,0,0,790,228
NH-500,New Hampshire Balance of State CoC,689,183,72,434,459,108,34,317,168,68,31,69,0,0,0,627,176
NH-501,Manchester CoC,407,91,37,279,146,18,9,119,198,73,25,100,4,0,4,348,91
NH-502,Nashua/Hillsborough County CoC,280,55,30,195,105,10,13,82,160,45,14,101,3,0,3,268,55
NJ-500,Atlantic City & County CoC,544,33,61,450,469,32,59,378,7,1,1,5,0,0,0,476,33
NJ-501,Bergen County CoC,371,99,44,228,162,34,14,114,176,64,29,83,0,0,0,338,98
NJ-502,Burlington County CoC, 1020 ,310,109,601,984,305,107,572,15,4,1,10,0,0,0,999,309
NJ-503, Camden City & County/Gloucester Cape May Cumberland Counties CoC , 1,695 ,451,190, 1,054 , 1,306 ,398,156,752,256,49,25,182,31,3
NJ-504,Newark/Essex County CoC, 1483 ,349,216,918,879,163,126,590,375,186,82,107,6,0,6, 1,260 
NJ-506, Jersey City Bayonne/Hudson County CoC ,821,169,71,581,488,110,47,331,167,58,15,94,0,0,0,655,168
NJ-507,New Brunswick/Middlesex County CoC,802,255,64,483,532,199,48,285,168,54,13,101,0,0,0,700,253
NJ-508,Monmouth County CoC,588,239,60,289,392,151,34,207,184,88,26,70,0,0,0,576,239
NJ-509,Morris County CoC,389,82,38,269,203,40,17,146,138,42,16,80,18,1,17,359,82
NJ-510,Lakewood Township/Ocean County CoC,627,182,63,382,523,162,53,308,46,20,8,18,0,0,0,569,182
NJ-511,Paterson/Passaic County CoC,376,122,30,224,304,86,22,196,68,36,8,24,0,0,0,372,122
NJ-512,Salem County CoC,42,24,2,16,20,16,1,3,18,8,1,9,0,0,0,38,24
NJ-513,Somerset County CoC,323,66,40,217,167,58,16,93,143,7,22,114,0,0,0,310,65
NJ-514,Trenton/Mercer County CoC,632,120,68,444,393,97,41,255,201,19,27,155,0,0,0,594,116
NJ-515,Elizabeth/Union County CoC, 1679 ,741,115,823,665,222,67,376,966,518,46,402,0,0,0, 1,631 
NJ-516, Warren Sussex Hunterdon Counties CoC ,279,45,27,207,205,33,19,153,61,11,7,43,0,0,0,266,44
NM-500,Albuquerque CoC, 1254 ,274,67,913,614,93,18,503,496,180,34,282,0,0,0, 1,110 
NM-501,New Mexico Balance of State CoC, 1492 ,476,176,840,795,197,68,530,413,236,44,133,0,0,0, 1,208 
NV-500,Las Vegas/Clark County CoC, 7443 , 1,447 , 1,121 , 4,875 , 3,145 ,568,237, 2,340 ,794,137,105,552
NV-501, Reno Sparks/Washoe County CoC ,769,54,65,650,349,46,14,289,323,8,37,278,0,0,0,672,54
NV-502,Nevada Balance of State CoC,370,41,20,309,88,13,3,72,88,26,4,58,0,0,0,176,39
NY-500, Rochester Irondequoit Greece/Monroe County CoC ,838,220,196,422,515,128,130,257,258,87,56,115,14,0,14,787,215
NY-501, Elmira/Steuben Allegany Livingston Chemung Schuyler Counties CoC ,512,81,92,339,74,17,13,44,291,50,52,189,0,0,0,365,67
NY-503,Albany City & County CoC,650,129,43,478,470,87,17,366,151,42,26,83,0,0,0,621,129
NY-504,Cattaragus County CoC,33,13,5,15,16,4,2,10,15,9,3,3,0,0,0,31,13
NY-505, Syracuse Auburn/Onondaga Oswego Cayuga Counties CoC , 1,024 ,172,122,730,601,93,57,451,407,79,61,267,0,0,0, 1
NY-507,Schenectady City & County CoC,243,64,39,140,185,54,30,101,34,10,5,19,0,0,0,219,64
NY-508, Buffalo Niagara Falls/Erie Niagara Orleans Genesee Wyoming Counties CoC , 1,088 ,277,111,700,547,119,44,384,459,158,62,239,15,0,15, 1
NY-510,Ithaca/Tompkins County CoC,47,16,11,20,19,8,2,9,16,7,7,2,0,0,0,35,15
NY-511, Binghamton Union Town/Broome Otsego Chenango Delaware Cortland Tioga Count ,309,35,78,196,129,24,31,74,141,3,32,106,0,0,0,270,27
NY-512,Troy/Rensselaer County CoC,216,85,20,111,127,67,11,49,37,18,1,18,0,0,0,164,85
NY-513, Wayne Ontario Seneca Yates Counties CoC ,92,9,10,73,47,9,10,28,33,0,0,33,12,0,12,92,9
NY-514, Jamestown Dunkirk/Chautauqua County CoC ,53,20,7,26,34,17,2,15,17,3,5,9,0,0,0,51,20
NY-516,Clinton County CoC,133,24,15,94,131,24,15,92,0,0,0,0,0,0,0,131,24
NY-518, Utica Rome/Oneida Madison Counties CoC ,159,37,31,91,86,13,12,61,56,24,18,14,0,0,0,142,37
NY-519, Columbia Greene Counties CoC ,128,40,19,69,122,37,18,67,5,3,1,1,0,0,0,127,40
NY-520, Franklin Essex Counties CoC ,78,20,27,31,62,19,20,23,11,0,4,7,0,0,0,73,19
NY-522, Jefferson Lewis St. Lawrence Counties CoC ,149,34,46,69,21,6,5,10,118,26,37,55,7,3,4,146,32
NY-523, Glens Falls Saratoga Springs/Saratoga Washington Warren Hamilton Counties Co ,262,53,29,180,202,39,22,141,53,14,6,33,0,0,0,255,53
NY-600,New York City CoC, 67810 , 24,693 , 6,965 , 36,152 , 59,127 , 24,040 , 6,118 , 28,969 , 5,185 
NY-601,Poughkeepsie/Dutchess County CoC,403,134,40,229,215,76,16,123,181,58,22,101,0,0,0,396,134
NY-602, Newburgh Middletown/Orange County CoC ,421,98,42,281,250,76,20,154,49,22,8,19,0,0,0,299,98
NY-603, Nassau Suffolk Counties CoC , 3,207 , 1,380 ,328, 1,499 , 2,553 , 1,167 ,246, 1,140 ,590,213,61
NY-604, Yonkers Mount Vernon/Westchester County CoC , 2,138 ,784,255, 1,099 ,904,204,109,591, 1,214 ,580,142,492,0,0
NY-606,Rockland County CoC,125,28,11,86,66,21,3,42,40,7,8,25,0,0,0,106,28
NY-607,Sullivan County CoC,131,34,15,82,130,34,15,81,0,0,0,0,0,0,0,130,34
NY-608,Kingston/Ulster County CoC,341,108,51,182,260,86,41,133,44,12,10,22,0,0,0,304,98
OH-500,Cincinnati/Hamilton County CoC, 1043 ,192,104,747,733,172,72,489,293,20,32,241,0,0,0, 1,026 
OH-501,Toledo/Lucas County CoC,809,204,51,554,498,99,33,366,291,105,18,168,11,0,11,800,204
OH-502,Cleveland/Cuyahoga County CoC, 2103 ,354,168, 1,581 , 1,247 ,187,112,948,808,167,55,586,20,0,20
OH-503,Columbus/Franklin County CoC, 1614 ,294,184, 1,136 , 1,251 ,285,136,830,130,9,28,93,0,0,0
OH-504,Youngstown/Mahoning County CoC,256,54,19,183,152,21,13,118,94,33,6,55,2,0,2,248,54
OH-505, Dayton Kettering/Montgomery County CoC ,791,135,103,553,535,87,40,408,222,48,63,111,0,0,0,757,135
OH-506, Akron Barberton/Summit County CoC ,870,199,81,590,316,67,21,228,367,122,49,196,10,0,10,693,189
OH-507,Ohio Balance of State CoC, 3806 , 1,004 ,465, 2,337 , 2,052 ,506,266, 1,280 , 1,185 ,415,139,631
OH-508, Canton Massillon Alliance/Stark County CoC ,531,163,61,307,259,82,21,156,214,79,36,99,20,0,20,493,161
OK-500,North Central Oklahoma CoC,201,56,34,111,75,22,6,47,79,28,18,33,0,0,0,154,50
OK-501,Tulsa City & County CoC, 1010 ,177,103,730,597,94,37,466,261,80,31,150,50,1,49,908,174
OK-502,Oklahoma City CoC, 1481 ,144,86, 1,251 , 1,029 ,111,66,852,194,33,7,154,0,0,0
OK-503,Oklahoma Balance of State CoC,295,87,22,186,140,35,5,100,14,5,4,5,0,0,0,154,40
OK-504,Norman/Cleveland County CoC,140,31,10,99,91,22,7,62,27,9,0,18,0,0,0,118,31
OK-505,Northeast Oklahoma CoC,383,100,60,223,259,71,38,150,41,4,3,34,0,0,0,300,75
OK-506,Southwest Oklahoma Regional CoC,239,57,30,152,96,34,5,57,81,22,23,36,0,0,0,177,56
OK-507,Southeastern Oklahoma Regional CoC,442,97,75,270,212,49,28,135,13,2,1,10,0,0,0,225,51
OR-500, Eugene Springfield/Lane County CoC , 1,767 ,265,173, 1,329 ,338,40,8,290,327,161,43,123,0,0,0
OR-501, Portland Gresham/Multnomah County CoC , 3,927 ,543,325, 3,059 ,679,151,48,480, 1,353 ,319,100,934,0,0
OR-502, Medford Ashland/Jackson County CoC ,625,90,43,492,252,11,9,232,147,32,12,103,0,0,0,399,43
OR-503,Central Oregon CoC,568,187,52,329,107,23,13,71,216,106,16,94,0,0,0,323,129
OR-505,Oregon Balance of State CoC, 4122 , 1,226 ,462, 2,434 , 1,272 ,195,107,970, 1,072 ,380,129,563,0
OR-506, Hillsboro Beaverton/Washington County CoC ,537,146,62,329,82,39,20,23,106,16,14,76,10,1,9,198,55
OR-507,Clackamas County CoC,618,228,57,333,37,22,1,14,103,56,18,29,0,0,0,140,78
PA-500,Philadelphia CoC, 5738 , 1,674 ,647, 3,417 , 3,642 ,978,348, 2,316 , 1,622 ,696,245,681
PA-501,Harrisburg/Dauphin County CoC,396,99,42,255,192,38,28,126,138,61,12,65,27,1,26,357,99
PA-502, Upper Darby Chester Haverford/Delaware County CoC ,509,136,61,312,280,71,31,178,182,65,30,87,0,0,0,462,136
PA-503, Wilkes-Barre Hazleton/Luzerne County CoC ,192,49,28,115,83,17,9,57,97,32,19,46,0,0,0,180,49
PA-504, Lower Merion Norristown Abington/Montgomery County CoC ,438,157,33,248,212,52,23,137,220,105,9,106,0,0,0,432,157
PA-505,Chester County CoC,679,119,58,502,267,41,33,193,365,73,24,268,8,0,8,640,114
PA-506,Reading/Berks County CoC,604,51,86,467,301,37,29,235,292,14,56,222,0,0,0,593,51
PA-508,Scranton/Lackawanna County CoC,287,112,29,146,90,25,11,54,188,87,18,83,4,0,4,282,112
PA-509,Eastern Pennsylvania CoC, 2021 ,662,282, 1,077 ,861,253,128,480,925,390,132,403,0,0,0, 1
PA-510,Lancaster City & County CoC,498,137,69,292,251,51,38,162,241,86,31,124,0,0,0,492,137
PA-511, Bristol Bensalem/Bucks County CoC ,492,194,68,230,154,34,12,108,310,160,54,96,0,0,0,464,194
PA-512,York City & County CoC,302,92,25,185,162,47,14,101,110,33,6,71,0,0,0,272,80
PA-600, Pittsburgh McKeesport Penn Hills/Allegheny County CoC , 1,573 ,364,166, 1,043 ,493,118,55,320,897,246,101,550,75,1,74
PA-601,Western Pennsylvania CoC, 1101 ,314,112,675,490,97,45,348,508,210,54,244,47,4,43, 1,045 
PA-603,Beaver County CoC,95,25,8,62,40,15,3,22,53,10,5,38,0,0,0,93,25
PA-605,Erie City & County CoC,408,102,61,245,215,36,27,152,146,50,16,80,0,0,0,361,86
PR-502,Puerto Rico Balance of Commonwealth CoC, 2085 ,211,139, 1,735 ,222,30,20,172,675,139,64,472,21,0,21,918
PR-503,South-Southeast Puerto Rico CoC, 2047 ,187,70, 1,790 ,184,11,14,159,261,63,18,180,43,0,43,488
RI-500,Rhode Island Statewide CoC, 1190 ,251,99,840,803,132,71,600,345,118,24,203,22,0,22, 1,170 
SC-500,Charleston/Low Country CoC,516,60,33,423,229,45,20,164,150,13,8,129,0,0,0,379,58
SC-501, Greenville Anderson Spartanburg/Upstate CoC , 1,636 ,381,129, 1,126 ,673,137,50,486,561,209,53,299,12,0,12
SC-502,Columbia/Midlands CoC, 1588 ,245,92, 1,251 ,693,88,44,561,469,121,25,323,0,0,0, 1
SC-503, Myrtle Beach Sumter City & County CoC , 1,317 ,172,112, 1,033 ,187,33,17,137,275,22,28,225,0,0,0
SD-500,South Dakota Statewide CoC,885,247,79,559,528,130,38,360,302,109,39,154,0,0,0,830,239
TN-500,Chattanooga/Southeast Tennessee CoC,627,125,44,458,352,61,22,269,104,41,9,54,0,0,0,456,102
TN-501,Memphis/Shelby County CoC, 1675 ,357,105, 1,213 ,617,85,39,493,937,272,62,603,0,0,0, 1
TN-502,Knoxville/Knox County CoC,861,77,51,733,521,49,28,444,259,25,16,218,0,0,0,780,74
TN-503,Central Tennessee CoC,286,32,28,226,121,30,13,78,119,0,10,109,0,0,0,240,30
TN-504,Nashville-Davidson County CoC, 2234 ,170,98, 1,966 , 1,593 ,97,87, 1,409 ,422,73,11,338,12,0
TN-506,Upper Cumberland CoC,342,52,91,199,109,16,20,73,75,23,5,47,0,0,0,184,39
TN-507,Jackson/West Tennessee CoC, 1601 ,155,87, 1,359 ,138,16,10,112,62,19,7,36,5,0,5,205
TN-509,Appalachian Regional CoC,598,93,68,437,291,50,30,211,141,41,10,90,0,0,0,432,91
TN-510,Murfreesboro/Rutherford County CoC,258,39,69,150,141,34,38,69,41,5,6,30,0,0,0,182,39
TN-512, Morristown/Blount Sevier Campbell Cocke Counties CoC ,933,290,97,546,277,106,30,141,46,9,6,31,0,0,0,323,115
TX-500,San Antonio/Bexar County CoC, 2892 ,649,195, 2,048 , 1,037 ,244,64,729,890,398,49,443,43,2,41
TX-503,Austin/Travis County CoC, 1987 ,482,167, 1,338 ,991,177,79,735,535,300,64,171,13,0,13, 1
TX-600, Dallas City & County Irving CoC , 3,514 , 1,058 ,224, 2,232 , 2,072 ,583,98, 1,391 , 1,176 ,470,117
TX-601, Fort Worth Arlington/Tarrant County CoC , 2,425 ,694,156, 1,575 , 1,273 ,232,71,970,948,462,77,409,20,1
TX-603,El Paso City & County CoC, 1260 ,379,105,776,613,133,61,419,446,246,36,164,20,1,19, 1,079 
TX-604,Waco/McLennan County CoC,246,61,19,166,108,24,6,78,94,37,10,47,0,0,0,202,61
TX-607,Texas Balance of State CoC, 9943 , 1,350 ,755, 7,838 , 2,774 ,499,168, 2,107 , 1,289 ,198,103,988
TX-611,Amarillo CoC,451,105,32,314,369,51,31,287,79,54,1,24,0,0,0,448,105
TX-624, Wichita Falls/Wise Palo Pinto Wichita Archer Counties CoC ,281,68,6,207,231,55,4,172,28,10,2,16,0,0,0,259,65
TX-700, Houston Pasadena Conroe/Harris Ft. Bend Montgomery Counties CoC , 5,308 ,985,442, 3,881 , 1,033 ,303,85,645, 1,971 ,620,142, 1,209 
TX-701, Bryan College Station/Brazos Valley CoC ,188,42,42,104,100,24,13,63,38,15,7,16,0,0,0,138,39
UT-500,Salt Lake City & County CoC, 2150 ,511,124, 1,515 , 1,362 ,288,77,997,631,220,30,381,47,1,46
UT-503,Utah Balance of State CoC,782,320,73,389,343,74,42,227,271,151,22,98,0,0,0,614,225
UT-504,Provo/Mountainland CoC,149,49,10,90,57,13,7,37,57,33,2,22,0,0,0,114,46
VA-500, Richmond/Henrico Chesterfield Hanover Counties CoC ,846,108,55,683,414,61,28,325,351,47,24,280,16,0,16,781,108
VA-501, Norfolk Chesapeake Suffolk/Isle of Wight Southampton Counties CoC ,668,107,39,522,473,44,32,397,157,63,6,88,0,0,0,630,107
VA-502, Roanoke City & County Salem CoC ,440,67,55,318,364,54,53,257,69,13,2,54,0,0,0,433,67
VA-503,Virginia Beach CoC,440,139,20,281,180,42,8,130,202,97,12,93,0,0,0,382,139
VA-504,Charlottesville CoC,204,41,10,153,128,10,6,112,50,31,2,17,0,0,0,178,41
VA-505, Newport News Hampton/Virginia Peninsula CoC ,525,114,23,388,389,80,19,290,86,34,1,51,22,3,19,497,114
VA-507,Portsmouth CoC,160,33,97,30,69,16,42,11,48,17,17,14,0,0,0,117,33
VA-508,Lynchburg CoC,220,61,21,138,159,39,15,105,58,22,5,31,0,0,0,217,61
VA-513, Harrisburg Winchester/Western Virginia CoC ,249,54,15,180,237,52,13,172,0,0,0,0,0,0,0,237,52
VA-514, Fredericksburg/Spotsylvania Stafford Counties CoC ,201,51,13,137,140,30,9,101,31,21,1,9,0,0,0,171,51
VA-521,Virginia Balance of State CoC,662,223,57,382,438,147,46,245,108,62,4,42,0,0,0,546,209
VA-600,Arlington County CoC,291,70,18,203,172,37,13,122,62,33,3,26,6,0,6,240,70
VA-601,Fairfax County CoC, 1225 ,407,109,709,667,153,44,470,484,254,63,167,8,0,8, 1,159 
VA-602,Loudoun County CoC,177,62,22,93,80,22,10,48,71,40,6,25,0,0,0,151,62
VA-603,Alexandria CoC,267,52,20,195,165,20,12,133,69,32,8,29,10,0,10,244,52
VA-604,Prince William County CoC,445,161,25,259,206,70,15,121,141,91,5,45,0,0,0,347,161
VI-500,Virgin Islands CoC,448,14,16,418,51,11,4,36,34,3,5,26,0,0,0,85,14
VT-500,Vermont Balance of State CoC, 1027 ,299,124,604,691,213,65,413,257,82,47,128,6,0,6,954,295
VT-501,Burlington/Chittenden County CoC,532,123,73,336,340,66,30,244,102,38,16,48,0,0,0,442,104
WA-500,Seattle/King County CoC, 8949 , 1,770 ,713, 6,466 , 2,906 ,440,186, 2,280 , 3,265 , 1,311 ,446
WA-501,Washington Balance of State CoC, 5236 , 1,403 ,595, 3,238 , 1,511 ,386,137,988, 1,596 ,682,211,703,0
WA-502,Spokane City & County CoC, 1149 ,292,113,744,561,120,41,400,433,157,48,228,0,0,0,994,277
WA-503, Tacoma Lakewood/Pierce County CoC , 1,464 ,423,154,887,646,142,35,469,525,263,95,167,0,0,0, 1
WA-504,Everett/Snohomish County CoC,949,242,117,590,351,95,22,234,226,113,34,79,0,0,0,577,208
WA-508,Vancouver/Clark County CoC,695,230,60,405,227,57,18,152,251,109,23,119,0,0,0,478,166
WI-500,Wisconsin Balance of State CoC, 3569 , 1,304 ,411, 1,854 , 1,924 ,585,224, 1,115 , 1,515 ,679,171,665
WI-501,Milwaukee City & County CoC, 1499 ,404,121,974,677,125,36,516,668,270,80,318,39,4,35, 1,384 
WI-502,Racine City & County CoC,210,59,24,127,97,19,12,66,102,40,10,52,0,0,0,199,59
WI-503,Madison/Dane County CoC,777,203,68,506,413,112,33,268,256,88,29,139,14,1,13,683,200
WV-500, Wheeling Weirton Area CoC ,97,21,2,74,71,9,1,61,17,9,1,7,0,0,0,88,18
WV-501, Huntington/Cabell Wayne Counties CoC ,218,60,20,138,143,29,15,99,52,31,3,18,13,1,12,208,60
WV-503, Charleston/Kanawha Putnam Boone Clay Counties CoC ,360,52,28,280,244,38,17,189,103,14,11,78,0,0,0,347,52
WV-508,West Virginia Balance of State CoC, 1338 ,165,132, 1,041 ,731,82,68,581,209,31,13,165,0,0,0,940
WY-500,Wyoming Statewide CoC,757,182,71,504,268,41,31,196,295,110,17,168,0,0,0,563,151
,Total, 576450 , 135,701 , 58,043 , 382,706 , 254,327 , 71,407 , 23,153 , 159,767 , 144,710 
,,,,,,,,,,,,,,,,,,
