CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
 a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However in the companion file Point-in-Time Estimates by State MO-604's data have been split up between MO and KS. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CoC Number,CoC Name, Overall Homeless 2013 , Overall Homeless - Under 18, 2013 , Overall Homeless - Age 18 to 24, 2013 , Overall Homeless - Over 24, 2013 , Sheltered ES Homeless, 2013 , Sheltered ES Homeless - Under 18, 2013 , Sheltered ES Homeless - Age 18 to 24, 2013 , Sheltered ES Homeless - Over 24, 2013 , Sheltered TH Homeless, 2013 
AK-500,Anchorage CoC, 1122 ,165,104,853,676,79,54,543,394,86,49,259,0,0,0, 1,070 
AK-501,Alaska Balance of State CoC,824,204,85,535,461,116,49,296,210,52,21,137,0,0,0,671,168
AL-500, Birmingham/Jefferson St. Clair Shelby Counties CoC , 1,469 ,259,108, 1,102 ,373,59,38,276,556,141,21,394,31,1,30
AL-501,Mobile City & County/Baldwin County CoC,493,92,25,376,153,34,5,114,107,54,10,43,0,0,0,260,88
AL-502,Florence/Northwest Alabama CoC,223,64,30,129,22,8,0,14,175,51,29,95,0,0,0,197,59
AL-503,Huntsville/North Alabama CoC,586,85,35,466,320,38,13,269,89,36,12,41,0,0,0,409,74
AL-504,Montgomery City & County CoC,515,46,63,406,159,16,23,120,240,30,22,188,0,0,0,399,46
AL-505,Gadsden/Northeast Alabama CoC,399,10,59,330,159,10,22,127,170,0,20,150,0,0,0,329,10
AL-506,Tuscaloosa City & County CoC,99,19,11,69,11,1,3,7,84,18,7,59,0,0,0,95,19
AL-507,Alabama Balance of State CoC,905,119,175,611,358,49,61,248,239,20,36,183,0,0,0,597,69
AR-500,Little Rock/Central Arkansas CoC, 1066 ,51,137,878,244,11,14,219,319,40,17,262,0,0,0,563,51
AR-501,Fayetteville/Northwest Arkansas CoC,668,210,133,325,313,158,46,109,133,22,49,62,0,0,0,446,180
AR-503,Arkansas  Balance of State  CoC, 1760 ,91,34, 1,635 ,376,66,27,283,94,7,3,84,0,0,0,470
AR-504,Delta Hills CoC,254,45,42,167,41,8,5,28,81,0,13,68,0,0,0,122,8
AR-505,Southeast Arkansas CoC,64,32,4,28,63,32,4,27,0,0,0,0,0,0,0,63,32
AZ-500,Arizona Balance of State CoC, 2435 ,643,197, 1,595 ,915,363,65,487,471,204,47,220,0,0,0, 1
AZ-501,Tucson/Pima County CoC, 2238 ,397,232, 1,609 ,801,125,66,610,923,262,107,554,13,1,12, 1
AZ-502, Phoenix Mesa/Maricopa County CoC , 5,889 , 1,558 ,513, 3,818 , 2,177 ,457,167, 1,553 , 2,106 , 1,053 
CA-500,San Jose/Santa Clara City & County CoC, 7631 ,723, 1,063 , 5,845 ,918,146,31,741, 1,023 ,363,148,512,16,0
CA-501,San Francisco CoC, 7008 ,455, 1,848 , 4,705 , 1,919 ,184,102, 1,633 ,720,132,213,375,54
CA-502, Oakland Berkeley/Alameda County CoC , 4,264 ,753,435, 3,076 ,914,228,91,595, 1,013 ,419,201,393,0,0
CA-503,Sacramento City & County CoC, 2538 ,501,226, 1,811 ,808,243,42,523,944,250,130,564,0,0,0, 1
CA-504, Santa Rosa Petaluma/Sonoma County CoC , 4,280 ,537,873, 2,870 ,504,79,22,403,467,161,41,265,0,0,0
CA-505,Richmond/Contra Costa County CoC, 2000 ,193,148, 1,659 ,414,69,47,298,257,111,30,116,0,0,0,671
CA-506, Salinas/Monterey San Benito Counties CoC , 2,955 ,374,397, 2,184 ,355,97,41,217,394,133,29,232,0,0,0
CA-507,Marin County CoC,676,149,53,474,188,22,10,156,317,126,14,177,0,0,0,505,148
CA-508,Watsonville/Santa Cruz City & County CoC, 3536 ,425,882, 2,229 ,402,99,19,284,239,109,25,105,0,0,0,641
CA-509,Mendocino County CoC, 1392 ,55,113, 1,224 ,106,10,6,90,68,16,21,31,0,0,0,174
CA-510, Turlock Modesto/Stanislaus County CoC , 1,201 ,146,99,956,337,39,13,285,219,25,21,173,0,0,0,556
CA-511,Stockton/San Joaquin County CoC, 1541 ,443,96, 1,002 ,760,163,44,553,518,265,41,212,0,0,0, 1
CA-512,Daly/San Mateo County CoC, 1995 ,327,135, 1,533 ,240,40,9,191,456,186,45,225,0,0,0,696
CA-513, Visalia/Kings Tulare Counties CoC ,705,101,60,544,182,40,9,133,227,56,37,134,0,0,0,409,96
CA-514,Fresno City & County/Madera County CoC, 3131 ,403,407, 2,321 ,184,43,14,127,388,159,68,161,22,2,20,594
CA-515, Roseville Rocklin/Placer County CoC ,908,127,72,709,196,40,7,149,189,64,19,106,0,0,0,385,104
CA-516, Redding/Shasta Siskiyou Lassen Plumas Del Norte Modoc Sierra Counties CoC ,851,70,204,577,260,26,72,162,244,37,84,123,0,0,0,504,63
CA-517,Napa City & County CoC,245,46,21,178,119,22,3,94,58,23,18,17,0,0,0,177,45
CA-518,Vallejo/Solano County CoC, 1329 ,103,156, 1,070 ,193,41,18,134,247,33,8,206,0,0,0,440
CA-519, Chico Paradise/Butte County CoC ,712,77,74,561,179,20,18,141,110,47,11,52,0,0,0,289,67
CA-520,Merced City & County CoC,372,20,31,321,86,10,4,72,31,6,7,18,0,0,0,117,16
CA-521, Davis Woodland/Yolo County CoC ,474,84,36,354,107,23,10,74,169,61,13,95,0,0,0,276,84
CA-522,Humboldt County CoC,864,114,183,567,55,22,7,26,125,40,11,74,0,0,0,180,62
CA-523, Colusa Glenn Trinity Counties CoC ,696,118,54,524,183,48,7,128,89,26,4,59,0,0,0,272,74
CA-524,Yuba City & County/Sutter County CoC, 1485 ,473,58,954,344,90,58,196,762,226,0,536,0,0,0, 1,106 
CA-525,El Dorado County CoC,180,26,17,137,27,8,0,19,104,16,13,75,0,0,0,131,24
CA-526, Amador Calaveras Mariposa Tuolumne Counties CoC ,376,71,36,269,99,41,10,48,37,21,3,13,0,0,0,136,62
CA-600,Los Angeles City & County CoC, 35524 , 4,667 , 4,428 , 26,429 , 6,468 , 1,511 ,511, 4,446 , 6,445 , 1
CA-601,San Diego City and County CoC, 8879 , 1,165 ,707, 7,007 ,947,167,41,739, 3,311 ,893,296, 2,122 ,47
CA-602, Santa Ana Anaheim/Orange County CoC , 4,251 ,914,372, 2,965 , 1,145 ,310,85,750, 1,428 ,602,109,717,0
CA-603,Santa Maria/Santa Barbara County CoC, 1882 ,259,110, 1,513 ,471,92,28,351,433,103,34,296,0,0,0,904
CA-604,Bakersfield/Kern County CoC, 1152 ,149,62,941,378,92,24,262,169,28,9,132,0,0,0,547,120
CA-606,Long Beach CoC, 2847 ,334,138, 2,375 ,389,62,25,302,555,111,36,408,24,0,24,968
CA-607,Pasadena CoC,772,140,47,585,267,51,17,199,112,28,18,66,0,0,0,379,79
CA-608,Riverside City & County CoC, 2978 ,384,201, 2,393 ,550,103,43,404,540,205,47,288,0,0,0, 1
CA-609,San Bernardino City & County CoC, 2321 ,522,183, 1,616 ,518,167,54,297,556,273,51,232,0,0,0, 1
CA-611, Oxnard San Buenaventura/Ventura County CoC , 1,674 ,260,89, 1,325 ,334,41,14,279,256,113,8,135,10,0,10
CA-612,Glendale CoC,318,67,12,239,124,15,5,104,87,50,7,30,0,0,0,211,65
CA-613,Imperial County CoC,252,60,20,172,89,18,6,65,59,39,5,15,0,0,0,148,57
CA-614,San Luis Obispo County CoC, 2357 ,262,220, 1,875 ,169,39,10,120,66,19,1,46,0,0,0,235
CO-500,Colorado Balance of State CoC, 2267 ,599,225, 1,443 ,729,158,67,504,533,281,48,204,0,0,0, 1
CO-503,Metropolitan Denver CoC, 6316 , 1,866 ,730, 3,720 , 2,819 ,556,293, 1,970 , 2,546 , 1,240 ,361
CO-504,Colorado Springs/El Paso County CoC, 1171 ,245,111,815,477,71,59,347,464,164,31,269,0,0,0,941,235
CT-503, Bridgeport Stamford Norwalk Danbury/Fairfield County CoC , 1,059 ,211,64,784,498,115,39,344,250,74,12,164,0,0,0,748
CT-505,Connecticut Balance of State CoC, 3389 ,602,278, 2,509 , 1,892 ,351,161, 1,380 ,889,217,72,600,0,0
DC-500,District of Columbia CoC, 6865 , 1,874 ,604, 4,387 , 4,010 ,918,310, 2,782 , 2,343 ,956,276, 1
DE-500,Delaware Statewide CoC,946,240,61,645,516,108,26,382,410,132,35,243,10,0,10,936,240
FL-500, Sarasota Bradenton/Manatee Sarasota Counties CoC , 1,049 ,142,103,804,335,45,39,251,228,68,25,135,0,0,0,563
FL-501,Tampa/Hillsborough County CoC, 1909 ,341,86, 1,482 ,387,51,18,318,559,107,34,418,19,0,19,965
FL-502, St. Petersburg Clearwater Largo/Pinellas County CoC , 3,913 ,577,308, 3,028 , 1,033 ,101,60,872,750,43,56,651,43,0
FL-503, Lakeland Winterhaven/Polk County CoC ,520,74,31,415,118,27,6,85,207,47,18,142,0,0,0,325,74
FL-504, Deltona Daytona Beach/Volusia Flagler Counties CoC , 2,176 ,291,69, 1,816 ,148,40,9,99,545,209,47,289,0,0,0
FL-505, Fort Walton Beach/Okaloosa Walton Counties CoC , 1,658 ,736,257,665,154,61,36,57,210,45,40,125,19,0,19,383
FL-506,Tallahassee/Leon County CoC,974,99,82,793,367,35,31,301,382,64,36,282,0,0,0,749,99
FL-507, Orlando/Orange Osceola Seminole Counties CoC , 4,378 , 1,165 ,261, 2,952 ,929,200,77,652, 1,368 ,464,94,810,24
FL-508, Gainesville/Alachua Putnam Counties CoC , 1,718 ,387,244, 1,087 ,213,55,20,138,200,22,24,154,0,0,0
FL-509, Fort Pierce/St. Lucie Indian River Martin Counties CoC , 2,240 ,802,115, 1,323 ,65,40,6,19,159,90,33,36,0,0,0
FL-510, Jacksonville-Duval Clay Counties CoC , 2,768 ,497,323, 1,948 ,856,138,140,578,815,281,47,487,0,0,0
FL-511, Pensacola/Escambia Santa Rosa Counties CoC ,945,105,65,775,242,46,10,186,321,51,30,240,0,0,0,563,97
FL-512,St. Johns County CoC, 1437 ,249,32, 1,156 ,72,14,7,51,161,49,12,100,0,0,0,233
FL-513, Palm Bay Melbourne/Brevard County CoC , 1,567 ,408,95, 1,064 ,60,17,14,29,647,248,37,362,0,0,0
FL-514,Ocala/Marion County CoC,530,117,30,383,163,51,10,102,162,43,9,110,0,0,0,325,94
FL-515, Panama City/Bay Jackson Counties CoC ,301,28,27,246,39,6,4,29,162,17,14,131,0,0,0,201,23
FL-517, Hendry Hardee Highlands Counties CoC , 3,847 , 1,784 ,526, 1,537 ,40,17,6,17,96,57,12,27,0,0
FL-518, Columbia Hamilton Lafayette Suwannee Counties CoC , 1,278 ,133,239,906,45,24,8,13,36,2,1,33,0,0,0,81
FL-519,Pasco County CoC, 3305 ,809,475, 2,021 ,63,23,16,24,42,0,6,36,0,0,0,105
FL-520, Citrus Hernando Lake Sumter Counties CoC ,709,166,41,502,185,57,18,110,118,23,9,86,0,0,0,303,80
FL-600,Miami-Dade County CoC, 3802 ,889,238, 2,675 , 1,470 ,469,116,885, 1,466 ,420,115,931,27,0
FL-601,Ft Lauderdale/Broward County CoC, 2810 ,598,227, 1,985 ,778,265,99,414, 1,168 ,333,74,761,35,2,33
FL-602,Punta Gorda/Charlotte County CoC,573,94,40,439,66,27,2,37,117,54,5,58,3,0,3,186,81
FL-603, Ft Myers Cape Coral/Lee County CoC ,848,69,55,724,236,39,13,184,216,15,28,173,0,0,0,452,54
FL-604,Monroe County CoC,652,48,28,576,225,31,6,188,122,15,10,97,0,0,0,347,46
FL-605,West Palm Beach/Palm Beach County CoC, 1559 ,182,80, 1,297 ,259,63,11,185,337,33,35,269,16,0,16,612
FL-606,Naples/Collier County CoC,396,82,38,276,207,54,19,134,135,24,19,92,0,0,0,342,78
GA-500,Atlanta CoC, 5536 ,368,496, 4,672 , 2,564 ,250,235, 2,079 , 1,239 ,92,88, 1,059 
GA-501,Georgia Balance of State CoC, 7651 , 1,550 ,612, 5,489 , 1,265 ,420,165,680, 1,069 ,639,61,369,0
GA-502,Fulton County CoC,428,138,29,261,55,29,8,18,243,109,21,113,0,0,0,298,138
GA-503,Athens-Clarke County CoC,213,24,18,171,91,9,10,72,27,15,3,9,0,0,0,118,24
GA-504,Augusta-Richmond County CoC,476,96,55,325,163,18,24,121,167,68,19,80,0,0,0,330,86
GA-505,Columbus-Muscogee CoC,294,29,30,235,179,29,26,124,55,0,2,53,0,0,0,234,29
GA-506,Marietta/Cobb County CoC,495,146,25,324,108,30,2,76,243,103,17,123,0,0,0,351,133
GA-507,Savannah/Chatham County CoC, 1165 ,82,106,977,269,56,32,181,274,26,23,225,0,0,0,543,82
GA-508,DeKalb County CoC,713,200,30,483,130,82,10,38,369,112,10,247,0,0,0,499,194
GU-500,Guam CoC, 1271 ,515,147,609,60,27,2,31,68,21,8,39,0,0,0,128,48
HI-500,Hawaii Balance of State CoC, 1779 ,364,128, 1,287 ,244,68,17,159,410,172,26,212,0,0,0,654
HI-501,Honolulu City and County CoC, 4556 , 1,327 ,309, 2,920 ,982,304,68,610, 2,084 ,931,159,994,25,1
IA-500, Sioux City/Dakota Woodbury Counties CoC ,236,74,30,132,109,25,3,81,115,49,27,39,0,0,0,224,74
IA-501,Iowa Balance of State CoC, 1920 ,703,216, 1,001 ,710,187,81,442, 1,149 ,515,129,505,0,0,0
IA-502,Des Moines/Polk County CoC,928,239,82,607,384,59,46,279,483,180,31,272,0,0,0,867,239
ID-500,Boise/Ada County CoC,694,100,63,531,438,68,46,324,207,31,13,163,0,0,0,645,99
ID-501,Idaho Balance of State CoC, 1087 ,350,99,638,307,102,24,181,452,203,38,211,0,0,0,759,305
IL-500,McHenry County CoC,185,46,11,128,63,7,3,53,117,39,7,71,0,0,0,180,46
IL-501, Rockford/DeKalb Winnebago Boone Counties CoC ,895,298,79,518,278,107,27,144,327,80,35,212,0,0,0,605,187
IL-502, Waukegan North Chicago/Lake County CoC ,497,129,12,356,328,55,2,271,150,74,10,66,14,0,14,492,129
IL-503, Champaign Urbana Rantoul/Champaign County CoC ,214,41,12,161,59,0,1,58,112,28,8,76,0,0,0,171,28
IL-504,Madison County CoC,201,98,30,73,70,28,10,32,103,62,8,33,0,0,0,173,90
IL-506, Joliet Bolingbrook/Will County CoC ,288,65,24,199,152,18,17,117,129,47,7,75,0,0,0,281,65
IL-507, Peoria Pekin/Fulton Tazewell Peoria Woodford Counties CoC ,396,97,30,269,261,54,20,187,109,41,8,60,0,0,0,370,95
IL-508, East St. Louis Belleville/St. Clair County CoC ,213,57,42,114,32,12,8,12,114,45,22,47,0,0,0,146,57
IL-510,Chicago CoC, 6276 , 1,521 ,607, 4,148 , 2,058 ,196,151, 1,711 , 2,965 , 1,293 ,334
IL-511,Cook County CoC, 1242 ,352,95,795,506,71,34,401,570,278,55,237,15,0,15, 1,091 
IL-512,Bloomington/Central Illinois CoC,536,112,212,212,274,30,140,104,130,58,28,44,16,12,4,420,88
IL-513,Springfield/Sangamon County CoC,280,69,30,181,150,33,15,102,120,36,15,69,0,0,0,270,69
IL-514,DuPage County CoC,665,232,83,350,215,37,14,164,421,195,69,157,0,0,0,636,232
IL-515,South Central Illinois CoC,149,57,8,84,55,13,3,39,75,40,4,31,0,0,0,130,53
IL-516,Decatur/Macon County CoC,247,61,41,145,115,21,19,75,75,36,8,31,0,0,0,190,57
IL-517, Aurora Elgin/Kane County CoC ,451,70,54,327,285,24,38,223,120,46,15,59,0,0,0,405,70
IL-518, Rock Island Moline/Northwestern Illinois CoC ,219,43,17,159,52,3,3,46,159,40,14,105,7,0,7,218,43
IL-519,West Central Illinois CoC,133,57,27,49,48,18,6,24,80,39,21,20,0,0,0,128,57
IL-520,Southern Illinois CoC,338,101,38,199,159,45,22,92,104,40,8,56,0,0,0,263,85
IN-502,Indiana Balance of State CoC, 4497 , 1,201 ,340, 2,956 , 2,226 ,511,156, 1,559 , 1,691 ,619,138,934
IN-503,Indianapolis CoC, 1599 ,342,109, 1,148 ,861,192,47,622,594,148,40,406,24,0,24, 1
KS-502,Wichita/Sedgwick County CoC,538,122,32,384,321,54,13,254,137,68,14,55,9,1,8,467,122
KS-503,Topeka/Shawnee County CoC,439,100,25,314,343,79,21,243,73,19,4,50,0,0,0,416,98
KS-505, Overland Park Shawnee/Johnson County CoC ,213,113,20,80,93,50,10,33,103,55,10,38,0,0,0,196,105
KS-507,Kansas Balance of State CoC, 1141 ,286,88,767,537,139,50,348,522,144,31,347,0,0,0, 1,059 
KY-500,Kentucky Balance of State CoC, 2392 ,643,276, 1,473 , 1,188 ,314,130,744,604,239,56,309,0,0,0
KY-501,Louisville-Jefferson County CoC, 1445 ,337,92, 1,016 ,769,152,34,583,603,185,52,366,10,1,9, 1
KY-502,Lexington-Fayette County CoC, 1408 ,222,156, 1,030 ,482,47,58,377,835,175,96,564,0,0,0, 1
LA-500,Lafayette/Acadiana CoC,542,123,32,387,165,31,13,121,268,92,15,161,0,0,0,433,123
LA-502, Shreveport Bossier/Northwest Louisiana CoC ,692,190,50,452,223,45,19,159,281,127,23,131,9,1,8,513,172
LA-503,New Orleans/Jefferson Parish CoC, 2337 ,357,240, 1,740 ,578,48,73,457,705,295,83,327,15,0,15, 1
LA-505,Monroe/Northeast Louisiana CoC,200,80,26,94,49,21,3,25,114,59,20,35,9,2,7,172,80
LA-506,Slidell/Southeast Louisiana CoC,276,83,13,180,86,17,3,66,155,62,8,85,0,0,0,241,79
LA-507,Alexandria/Central Louisiana CoC,118,18,3,97,38,0,0,38,49,17,0,32,0,0,0,87,17
LA-509,Louisiana Balance of State CoC, 1061 ,90,170,801,250,65,23,162,656,23,141,492,1,0,1,907,88
MA-500,Boston CoC, 5881 , 1,926 ,485, 3,470 , 4,334 , 1,715 ,382, 2,237 , 1,338 ,211,85
MA-502,Lynn CoC,468,219,27,222,329,166,14,149,124,50,11,63,0,0,0,453,216
MA-503,Cape Cod Islands CoC,514,93,56,365,242,85,24,133,79,0,16,63,0,0,0,321,85
MA-504,Springfield/Hampden County CoC, 2117 , 1,001 ,291,825, 1,838 ,931,249,658,227,70,38,119,7,0,7
MA-505,New Bedford CoC,337,78,27,232,105,36,13,56,213,40,13,160,0,0,0,318,76
MA-506,Worcester City & County CoC, 1657 ,717,234,706, 1,043 ,582,161,300,546,130,66,350,13,0,13, 1
MA-507, Pittsfield/Berkshire Franklin Hampshire Counties CoC ,678,103,65,510,280,73,43,164,358,28,16,314,0,0,0,638,101
MA-508,Lowell CoC,559,204,58,297,428,165,47,216,106,39,4,63,0,0,0,534,204
MA-509,Cambridge CoC,535,100,28,407,264,35,15,214,202,65,9,128,0,0,0,466,100
MA-510, Gloucester Haverhill Salem/Essex County CoC , 1,286 ,623,43,620, 1,120 ,576,33,511,119,47,8,64,11,2,9
MA-511, Quincy Brockton Weymouth Plymouth City and County CoC , 1,690 ,709,87,894, 1,528 ,672,75,781,113,37,12,64,0,0,0
MA-515,Fall River CoC,235,77,33,125,122,46,16,60,98,28,15,55,0,0,0,220,74
MA-516,Massachusetts Balance of State CoC, 2652 , 1,247 ,466,939, 2,070 , 1,019 ,393,658,513,228,67,218,12,0
MA-517,Somerville CoC,169,49,29,91,99,29,15,55,61,20,14,27,0,0,0,160,49
MA-519, Attleboro Taunton/Bristol County CoC ,251,113,24,114,160,72,15,73,61,35,6,20,0,0,0,221,107
MD-500,Cumberland/Allegany County CoC,76,23,8,45,20,2,2,16,44,21,5,18,0,0,0,64,23
MD-501,Baltimore CoC, 2638 ,431,124, 2,083 , 1,061 ,169,37,855, 1,242 ,238,73,931,40,0
MD-502,Harford County CoC,166,60,22,84,95,34,13,48,63,26,9,28,0,0,0,158,60
MD-503,Annapolis/Anne Arundel County CoC,400,95,24,281,254,59,16,179,61,32,2,27,0,0,0,315,91
MD-504,Howard County CoC,194,57,21,116,93,31,10,52,46,24,8,14,0,0,0,139,55
MD-505,Baltimore County CoC,919,192,77,650,414,131,39,244,50,29,4,17,0,0,0,464,160
MD-506,Carroll County CoC,134,31,7,96,82,16,5,61,26,15,2,9,19,0,19,127,31
MD-507,Cecil County CoC,234,38,13,183,64,0,8,56,124,32,3,89,0,0,0,188,32
MD-508, Charles Calvert St.Mary's Counties CoC ,833,275,78,480,198,55,18,125,135,52,3,80,5,0,5,338,107
MD-509,Frederick City & County CoC,275,65,12,198,94,15,3,76,112,50,3,59,0,0,0,206,65
MD-510,Garrett County CoC,7,0,1,6,3,0,1,2,4,0,0,4,0,0,0,7,0
MD-511,Mid-Shore Regional CoC,87,11,9,67,50,2,6,42,17,6,1,10,0,0,0,67,8
MD-512,Hagerstown/Washington County CoC,192,32,15,145,166,32,8,126,21,0,2,19,0,0,0,187,32
MD-513, Wicomico Somerset Worcester Counties CoC ,360,73,31,256,283,49,26,208,36,20,2,14,0,0,0,319,69
MD-600,Prince George's County CoC,686,251,77,358,290,123,26,141,210,110,22,78,0,0,0,500,233
MD-601,Montgomery County CoC, 1004 ,229,77,698,546,131,46,369,280,98,19,163,35,2,33,861,229
ME-500,Maine Statewide CoC, 3016 ,910,349, 1,757 , 1,090 ,211,135,744, 1,851 ,689,201,961,13,1
MI-500,Michigan Balance of State CoC, 1806 ,585,314,907,528,159,73,296,761,349,125,287,0,0,0, 1,289 
MI-501,Detroit CoC, 2789 ,317,256, 2,216 , 1,348 ,157,157, 1,034 , 1,138 ,157,88,893,21
MI-502, Dearborn Dearborn Heights Westland/Wayne County CoC ,380,113,22,245,105,41,9,55,235,72,13,150,18,0,18,358,113
MI-503, St. Clair Shores Warren/Macomb County CoC ,504,36,82,386,234,25,29,180,71,10,17,44,0,0,0,305,35
MI-504, Pontiac Royal Oak/Oakland County CoC ,698,151,53,494,281,29,1,251,329,122,52,155,0,0,0,610,151
MI-505,Flint/Genesee County CoC,387,68,38,281,185,38,21,126,85,30,14,41,0,0,0,270,68
MI-506, Grand Rapids Wyoming/Kent County CoC ,732,329,92,311,260,61,39,160,428,268,52,108,0,0,0,688,329
MI-507, Portage Kalamazoo City & County CoC ,642,227,64,351,441,136,36,269,170,87,27,56,0,0,0,611,223
MI-508, Lansing East Lansing/Ingham County CoC ,423,65,35,323,291,54,25,212,66,11,7,48,0,0,0,357,65
MI-509,Washtenaw County CoC,510,92,41,377,241,45,14,182,103,42,13,48,0,0,0,344,87
MI-510,Saginaw City & County CoC,350,128,27,195,181,70,13,98,157,58,14,85,5,0,5,343,128
MI-511,Lenawee County CoC,124,46,17,61,72,18,8,46,39,21,9,9,0,0,0,111,39
MI-512, Grand Traverse Antrim Leelanau Counties CoC ,328,88,27,213,186,26,12,148,103,56,12,35,0,0,0,289,82
MI-513, Marquette Alger Counties CoC ,74,10,11,53,29,3,3,23,40,7,8,25,0,0,0,69,10
MI-514,Battle Creek/Calhoun County CoC,236,55,14,167,103,45,8,50,69,9,5,55,0,0,0,172,54
MI-515,Monroe City & County CoC,139,23,9,107,59,18,7,34,77,5,2,70,0,0,0,136,23
MI-516, Norton Shores Muskegon City & County CoC ,644,250,107,287,102,31,10,61,134,30,28,76,0,0,0,236,61
MI-517,Jackson City & County CoC,187,56,14,117,65,14,4,47,89,42,8,39,0,0,0,154,56
MI-518,Livingston County CoC,127,44,24,59,46,24,4,18,51,20,10,21,0,0,0,97,44
