date,unemployment_asian
1/1/00,4
2/1/00,3.4
3/1/00,4.1
4/1/00,3.1
5/1/00,3.5
6/1/00,4.9
7/1/00,4.1
8/1/00,3.8
9/1/00,3.3
10/1/00,3.3
11/1/00,3.3
12/1/00,2.7
1/1/01,3.8
2/1/01,3.3
3/1/01,3.2
4/1/01,3.3
5/1/01,3.6
6/1/01,4.7
7/1/01,4.5
8/1/01,5.7
9/1/01,5.5
10/1/01,5.3
11/1/01,5.4
12/1/01,5.2
1/1/02,5.6
2/1/02,5.6
3/1/02,5.6
4/1/02,5.9
5/1/02,5.9
6/1/02,6.9
7/1/02,6.2
8/1/02,6.5
9/1/02,5.4
10/1/02,5.6
11/1/02,5.6
12/1/02,5.9
1/1/03,5.6
2/1/03,6
3/1/03,6.5
4/1/03,5.8
5/1/03,5.1
6/1/03,7.8
7/1/03,6.2
8/1/03,5.9
9/1/03,6.2
10/1/03,6.1
11/1/03,5.2
12/1/03,5.3
1/1/04,5.2
2/1/04,4.7
3/1/04,4.2
4/1/04,4.4
5/1/04,4.2
6/1/04,5
7/1/04,4.3
8/1/04,3.6
9/1/04,4.3
10/1/04,4.8
11/1/04,4.2
12/1/04,4.1
1/1/05,4.2
2/1/05,4.5
3/1/05,3.9
4/1/05,3.9
5/1/05,3.9
6/1/05,4
7/1/05,5.2
8/1/05,3.6
9/1/05,4.1
10/1/05,3.1
11/1/05,3.6
12/1/05,3.8
1/1/06,3.2
2/1/06,3.2
3/1/06,3.4
4/1/06,3.6
5/1/06,3
6/1/06,3.5
7/1/06,2.7
8/1/06,2.9
9/1/06,2.8
10/1/06,2.7
11/1/06,3.2
12/1/06,2.4
1/1/07,3.2
2/1/07,2.7
3/1/07,3
4/1/07,3.3
5/1/07,2.9
6/1/07,3.1
7/1/07,3
8/1/07,3.4
9/1/07,3.2
10/1/07,3.7
11/1/07,3.6
12/1/07,3.7
1/1/08,3.2
2/1/08,3
3/1/08,3.6
4/1/08,3.2
5/1/08,3.8
6/1/08,4.5
7/1/08,4
8/1/08,4.4
9/1/08,3.8
10/1/08,3.8
11/1/08,4.8
12/1/08,5.1
1/1/09,6.2
2/1/09,6.9
3/1/09,6.4
4/1/09,6.6
5/1/09,6.7
6/1/09,8.2
7/1/09,8.3
8/1/09,7.5
9/1/09,7.4
10/1/09,7.5
11/1/09,7.3
12/1/09,8.4
1/1/10,8.4
2/1/10,8.4
3/1/10,7.5
4/1/10,6.8
5/1/10,7.5
6/1/10,7.7
7/1/10,8.2
8/1/10,7.2
9/1/10,6.4
10/1/10,7.1
11/1/10,7.6
12/1/10,7.2
1/1/11,6.9
2/1/11,6.8
3/1/11,7.1
4/1/11,6.4
5/1/11,7
6/1/11,6.8
7/1/11,7.7
8/1/11,7.1
9/1/11,7.8
10/1/11,7.3
11/1/11,6.5
12/1/11,6.8
1/1/12,6.7
2/1/12,6.3
3/1/12,6.2
4/1/12,5.2
5/1/12,5.2
6/1/12,6.3
7/1/12,6.2
8/1/12,5.9
9/1/12,4.8
10/1/12,4.9
11/1/12,6.4
12/1/12,6.6
1/1/13,6.5
2/1/13,6.1
3/1/13,5
4/1/13,5.1
5/1/13,4.3
6/1/13,5
7/1/13,5.7
8/1/13,5.1
9/1/13,5.3
10/1/13,5.2
11/1/13,5.3
12/1/13,4.1
1/1/14,4.8
2/1/14,6
3/1/14,5.4
4/1/14,5.7
5/1/14,5.3
6/1/14,5.1
7/1/14,4.5
8/1/14,4.5
9/1/14,4.3
10/1/14,5
11/1/14,4.8
12/1/14,4.2
1/1/15,4.1
2/1/15,4.1
3/1/15,3.1
4/1/15,4.2
5/1/15,3.9
6/1/15,4.1
7/1/15,4.2
8/1/15,3.4
9/1/15,3.5
10/1/15,3.5
11/1/15,3.9
12/1/15,4
1/1/16,3.7
2/1/16,3.9
3/1/16,3.9
4/1/16,3.6
5/1/16,3.9
6/1/16,3.7
7/1/16,4.1
8/1/16,4.2
9/1/16,3.8
10/1/16,3.3
11/1/16,3
12/1/16,2.6
1/1/17,3.8
2/1/17,3.5
3/1/17,3.2
4/1/17,3.1
5/1/17,3.5
6/1/17,3.8
7/1/17,4
8/1/17,4
9/1/17,3.5
10/1/17,2.9
11/1/17,3
12/1/17,2.4
1/1/18,3.1
2/1/18,3
3/1/18,3
4/1/18,2.7
5/1/18,2
6/1/18,3.4
7/1/18,3.3
8/1/18,3
9/1/18,3.5
10/1/18,3.1
11/1/18,2.7
12/1/18,3.1
1/1/19,3.2
2/1/19,3.2
3/1/19,3
4/1/19,2.1
5/1/19,2.3
6/1/19,2.3
7/1/19,3
8/1/19,2.9
9/1/19,2.4
10/1/19,2.8
11/1/19,2.6
12/1/19,2.4
1/1/20,3.2