date,unemployment_highschool
1/1/92,10.8
2/1/92,11
3/1/92,11.2
4/1/92,10.8
5/1/92,12.2
6/1/92,11.9
7/1/92,11.9
8/1/92,11.8
9/1/92,11.7
10/1/92,11.5
11/1/92,11.6
12/1/92,11.3
1/1/93,11.1
2/1/93,11.1
3/1/93,10.9
4/1/93,10.9
5/1/93,10.8
6/1/93,11.2
7/1/93,10.4
8/1/93,10.5
9/1/93,10.7
10/1/93,10.7
11/1/93,10.5
12/1/93,11
1/1/94,10.7
2/1/94,10.4
3/1/94,10.5
4/1/94,10.1
5/1/94,9.3
6/1/94,9.7
7/1/94,9.8
8/1/94,9.8
9/1/94,9.6
10/1/94,9.7
11/1/94,9.2
12/1/94,8.5
1/1/95,9.2
2/1/95,8.9
3/1/95,8
4/1/95,8.8
5/1/95,8.7
6/1/95,8.7
7/1/95,9
8/1/95,9.5
9/1/95,9.1
10/1/95,9.1
11/1/95,9.3
12/1/95,9.2
1/1/96,8.7
2/1/96,8.9
3/1/96,9.2
4/1/96,9.1
5/1/96,9.7
6/1/96,8.6
7/1/96,8.8
8/1/96,8.5
9/1/96,8.2
10/1/96,7.8
11/1/96,8.4
12/1/96,8.3
1/1/97,8.8
2/1/97,8.8
3/1/97,8.3
4/1/97,8.4
5/1/97,8.5
6/1/97,8.2
7/1/97,7.7
8/1/97,7.6
9/1/97,8
10/1/97,7.8
11/1/97,7.4
12/1/97,7.5
1/1/98,7
2/1/98,7.1
3/1/98,7.1
4/1/98,7.2
5/1/98,7
6/1/98,7.2
7/1/98,7.2
8/1/98,7.1
9/1/98,6.9
10/1/98,6.9
11/1/98,7.1
12/1/98,6.9
1/1/99,7.1
2/1/99,7.5
3/1/99,6.1
4/1/99,6.9
5/1/99,6.8
6/1/99,6.8
7/1/99,6.9
8/1/99,7.1
9/1/99,6.9
10/1/99,6.6
11/1/99,6.4
12/1/99,5.8
1/1/00,6.4
2/1/00,6
3/1/00,6.6
4/1/00,6.2
5/1/00,6.9
6/1/00,6.3
7/1/00,6.4
8/1/00,6.2
9/1/00,6.2
10/1/00,6.4
11/1/00,6.5
12/1/00,5.9
1/1/01,6.7
2/1/01,7.5
3/1/01,6.8
4/1/01,6.8
5/1/01,6.6
6/1/01,6.9
7/1/01,6.8
8/1/01,7.2
9/1/01,7.7
10/1/01,7.6
11/1/01,8
12/1/01,8.3
1/1/02,8.2
2/1/02,8.3
3/1/02,8.1
4/1/02,9.1
5/1/02,8.3
6/1/02,7.8
7/1/02,8.6
8/1/02,8.4
9/1/02,7.8
10/1/02,8.7
11/1/02,9
12/1/02,8.9
1/1/03,8.8
2/1/03,8.9
3/1/03,8.6
4/1/03,8.5
5/1/03,9
6/1/03,9.4
7/1/03,8.8
8/1/03,9.3
9/1/03,8.6
10/1/03,9
11/1/03,8.7
12/1/03,7.9
1/1/04,9.1
2/1/04,8.6
3/1/04,8.8
4/1/04,8.6
5/1/04,8.8
6/1/04,8.7
7/1/04,8.2
8/1/04,8.1
9/1/04,8.7
10/1/04,8.4
11/1/04,8
12/1/04,8.1
1/1/05,7.7
2/1/05,7.8
3/1/05,7.8
4/1/05,8.2
5/1/05,7.8
6/1/05,6.9
7/1/05,7.5
8/1/05,7.5
9/1/05,8.2
10/1/05,7.3
11/1/05,7.4
12/1/05,7.4
1/1/06,7
2/1/06,7.1
3/1/06,6.9
4/1/06,6.9
5/1/06,7
6/1/06,7.1
7/1/06,7.1
8/1/06,6.8
9/1/06,6.4
10/1/06,5.8
11/1/06,6.6
12/1/06,6.7
1/1/07,6.9
2/1/07,7.3
3/1/07,6.9
4/1/07,7.1
5/1/07,6.6
6/1/07,6.7
7/1/07,7.3
8/1/07,6.5
9/1/07,7.6
10/1/07,7.3
11/1/07,7.7
12/1/07,7.7
1/1/08,7.7
2/1/08,7.4
3/1/08,8.4
4/1/08,7.7
5/1/08,8.1
6/1/08,8.7
7/1/08,8.6
8/1/08,9.7
9/1/08,9.8
10/1/08,10.3
11/1/08,10.8
12/1/08,11.1
1/1/09,12.4
2/1/09,13.2
3/1/09,14
4/1/09,14.9
5/1/09,15.2
6/1/09,15.6
7/1/09,15.3
8/1/09,15.6
9/1/09,14.9
10/1/09,15.2
11/1/09,14.7
12/1/09,15
1/1/10,15.3
2/1/10,15.8
3/1/10,14.9
4/1/10,14.7
5/1/10,14.6
6/1/10,14.2
7/1/10,13.5
8/1/10,14.1
9/1/10,15.6
10/1/10,15
11/1/10,15.4
12/1/10,15
1/1/11,14.3
2/1/11,14
3/1/11,14.1
4/1/11,14.7
5/1/11,14.5
6/1/11,14.4
7/1/11,14.5
8/1/11,14.1
9/1/11,14.3
10/1/11,13.5
11/1/11,12.8
12/1/11,13.7
1/1/12,13
2/1/12,13.1
3/1/12,12.8
4/1/12,12.5
5/1/12,12.9
6/1/12,12.6
7/1/12,12.4
8/1/12,11.8
9/1/12,11.7
10/1/12,12.1
11/1/12,12
12/1/12,11.8
1/1/13,12
2/1/13,11.3
3/1/13,11.1
4/1/13,11.6
5/1/13,11
6/1/13,10.7
7/1/13,10.8
8/1/13,11.1
9/1/13,10.5
10/1/13,10.9
11/1/13,10.7
12/1/13,9.8
1/1/14,9.4
2/1/14,9.8
3/1/14,9.4
4/1/14,8.7
5/1/14,9.2
6/1/14,9.2
7/1/14,9.5
8/1/14,9.2
9/1/14,8.5
10/1/14,8.1
11/1/14,8.6
12/1/14,8.6
1/1/15,8.3
2/1/15,8.2
3/1/15,8.6
4/1/15,8.4
5/1/15,8.7
6/1/15,8.2
7/1/15,8.3
8/1/15,7.9
9/1/15,7.9
10/1/15,7.6
11/1/15,6.8
12/1/15,6.4
1/1/16,7.1
2/1/16,7
3/1/16,7.3
4/1/16,7.6
5/1/16,7.5
6/1/16,7.6
7/1/16,6.5
8/1/16,7.4
9/1/16,8.5
10/1/16,7.4
11/1/16,7.8
12/1/16,7.5
1/1/17,7.4
2/1/17,7.7
3/1/17,6.6
4/1/17,6.4
5/1/17,6.3
6/1/17,6.5
7/1/17,7.1
8/1/17,6.1
9/1/17,6.7
10/1/17,5.9
11/1/17,5.2
12/1/17,6.2
1/1/18,5.4
2/1/18,5.7
3/1/18,5.5
4/1/18,5.8
5/1/18,5.5
6/1/18,5.5
7/1/18,5.2
8/1/18,5.7
9/1/18,5.7
10/1/18,5.9
11/1/18,5.6
12/1/18,5.8
1/1/19,5.7
2/1/19,5.3
3/1/19,5.8
4/1/19,5.3
5/1/19,5.4
6/1/19,5.3
7/1/19,5.2
8/1/19,5.4
9/1/19,4.8
10/1/19,5.5
11/1/19,5.3
12/1/19,5.2
1/1/20,5.5