date,unemployment_rate,index
1948-01-01,3.4,0
1948-01-02,3.8,1
1948-01-03,4,2
1948-01-04,3.9,3
1948-01-05,3.5,4
1948-01-06,3.6,5
1948-01-07,3.6,6
1948-01-08,3.9,7
1948-01-09,3.8,8
1948-01-10,3.7,9
1948-01-11,3.8,10
1948-01-12,4,11
1949-01-01,4.3,12
1949-01-02,4.7,13
1949-01-03,5,14
1949-01-04,5.3,15
1949-01-05,6.1,16
1949-01-06,6.2,17
1949-01-07,6.7,18
1949-01-08,6.8,19
1949-01-09,6.6,20
1949-01-10,7.9,21
1949-01-11,6.4,22
1949-01-12,6.6,23
1950-01-01,6.5,24
1950-01-02,6.4,25
1950-01-03,6.3,26
1950-01-04,5.8,27
1950-01-05,5.5,28
1950-01-06,5.4,29
1950-01-07,5,30
1950-01-08,4.5,31
1950-01-09,4.4,32
1950-01-10,4.2,33
1950-01-11,4.2,34
1950-01-12,4.3,35
1951-01-01,3.7,36
1951-01-02,3.4,37
1951-01-03,3.4,38
1951-01-04,3.1,39
1951-01-05,3,40
1951-01-06,3.2,41
1951-01-07,3.1,42
1951-01-08,3.1,43
1951-01-09,3.3,44
1951-01-10,3.5,45
1951-01-11,3.5,46
1951-01-12,3.1,47
1952-01-01,3.2,48
1952-01-02,3.1,49
1952-01-03,2.9,50
1952-01-04,2.9,51
1952-01-05,3,52
1952-01-06,3,53
1952-01-07,3.2,54
1952-01-08,3.4,55
1952-01-09,3.1,56
1952-01-10,3,57
1952-01-11,2.8,58
1952-01-12,2.7,59
1953-01-01,2.9,60
1953-01-02,2.6,61
1953-01-03,2.6,62
1953-01-04,2.7,63
1953-01-05,2.5,64
1953-01-06,2.5,65
1953-01-07,2.6,66
1953-01-08,2.7,67
1953-01-09,2.9,68
1953-01-10,3.1,69
1953-01-11,3.5,70
1953-01-12,4.5,71
1954-01-01,4.9,72
1954-01-02,5.2,73
1954-01-03,5.7,74
1954-01-04,5.9,75
1954-01-05,5.9,76
1954-01-06,5.6,77
1954-01-07,5.8,78
1954-01-08,6,79
1954-01-09,6.1,80
1954-01-10,5.7,81
1954-01-11,5.3,82
1954-01-12,5,83
1955-01-01,4.9,84
1955-01-02,4.7,85
1955-01-03,4.6,86
1955-01-04,4.7,87
1955-01-05,4.3,88
1955-01-06,4.2,89
1955-01-07,4,90
1955-01-08,4.2,91
1955-01-09,4.1,92
1955-01-10,4.3,93
1955-01-11,4.2,94
1955-01-12,4.2,95
1956-01-01,4,96
1956-01-02,3.9,97
1956-01-03,4.2,98
1956-01-04,4,99
1956-01-05,4.3,100
1956-01-06,4.3,101
1956-01-07,4.4,102
1956-01-08,4.1,103
1956-01-09,3.9,104
1956-01-10,3.9,105
1956-01-11,4.3,106
1956-01-12,4.2,107
1957-01-01,4.2,108
1957-01-02,3.9,109
1957-01-03,3.7,110
1957-01-04,3.9,111
1957-01-05,4.1,112
1957-01-06,4.3,113
1957-01-07,4.2,114
1957-01-08,4.1,115
1957-01-09,4.4,116
1957-01-10,4.5,117
1957-01-11,5.1,118
1957-01-12,5.2,119
1958-01-01,5.8,120
1958-01-02,6.4,121
1958-01-03,6.7,122
1958-01-04,7.4,123
1958-01-05,7.4,124
1958-01-06,7.3,125
1958-01-07,7.5,126
1958-01-08,7.4,127
1958-01-09,7.1,128
1958-01-10,6.7,129
1958-01-11,6.2,130
1958-01-12,6.2,131
1959-01-01,6,132
1959-01-02,5.9,133
1959-01-03,5.6,134
1959-01-04,5.2,135
1959-01-05,5.1,136
1959-01-06,5,137
1959-01-07,5.1,138
1959-01-08,5.2,139
1959-01-09,5.5,140
1959-01-10,5.7,141
1959-01-11,5.8,142
1959-01-12,5.3,143
1960-01-01,5.2,144
1960-01-02,4.8,145
1960-01-03,5.4,146
1960-01-04,5.2,147
1960-01-05,5.1,148
1960-01-06,5.4,149
1960-01-07,5.5,150
1960-01-08,5.6,151
1960-01-09,5.5,152
1960-01-10,6.1,153
1960-01-11,6.1,154
1960-01-12,6.6,155
1961-01-01,6.6,156
1961-01-02,6.9,157
1961-01-03,6.9,158
1961-01-04,7,159
1961-01-05,7.1,160
1961-01-06,6.9,161
1961-01-07,7,162
1961-01-08,6.6,163
1961-01-09,6.7,164
1961-01-10,6.5,165
1961-01-11,6.1,166
1961-01-12,6,167
1962-01-01,5.8,168
1962-01-02,5.5,169
1962-01-03,5.6,170
1962-01-04,5.6,171
1962-01-05,5.5,172
1962-01-06,5.5,173
1962-01-07,5.4,174
1962-01-08,5.7,175
1962-01-09,5.6,176
1962-01-10,5.4,177
1962-01-11,5.7,178
1962-01-12,5.5,179
1963-01-01,5.7,180
1963-01-02,5.9,181
1963-01-03,5.7,182
1963-01-04,5.7,183
1963-01-05,5.9,184
1963-01-06,5.6,185
1963-01-07,5.6,186
1963-01-08,5.4,187
1963-01-09,5.5,188
1963-01-10,5.5,189
1963-01-11,5.7,190
1963-01-12,5.5,191
1964-01-01,5.6,192
1964-01-02,5.4,193
1964-01-03,5.4,194
1964-01-04,5.3,195
1964-01-05,5.1,196
1964-01-06,5.2,197
1964-01-07,4.9,198
1964-01-08,5,199
1964-01-09,5.1,200
1964-01-10,5.1,201
1964-01-11,4.8,202
1964-01-12,5,203
1965-01-01,4.9,204
1965-01-02,5.1,205
1965-01-03,4.7,206
1965-01-04,4.8,207
1965-01-05,4.6,208
1965-01-06,4.6,209
1965-01-07,4.4,210
1965-01-08,4.4,211
1965-01-09,4.3,212
1965-01-10,4.2,213
1965-01-11,4.1,214
1965-01-12,4,215
1966-01-01,4,216
1966-01-02,3.8,217
1966-01-03,3.8,218
1966-01-04,3.8,219
1966-01-05,3.9,220
1966-01-06,3.8,221
1966-01-07,3.8,222
1966-01-08,3.8,223
1966-01-09,3.7,224
1966-01-10,3.7,225
1966-01-11,3.6,226
1966-01-12,3.8,227
1967-01-01,3.9,228
1967-01-02,3.8,229
1967-01-03,3.8,230
1967-01-04,3.8,231
1967-01-05,3.8,232
1967-01-06,3.9,233
1967-01-07,3.8,234
1967-01-08,3.8,235
1967-01-09,3.8,236
1967-01-10,4,237
1967-01-11,3.9,238
1967-01-12,3.8,239
1968-01-01,3.7,240
1968-01-02,3.8,241
1968-01-03,3.7,242
1968-01-04,3.5,243
1968-01-05,3.5,244
1968-01-06,3.7,245
1968-01-07,3.7,246
1968-01-08,3.5,247
1968-01-09,3.4,248
1968-01-10,3.4,249
1968-01-11,3.4,250
1968-01-12,3.4,251
1969-01-01,3.4,252
1969-01-02,3.4,253
1969-01-03,3.4,254
1969-01-04,3.4,255
1969-01-05,3.4,256
1969-01-06,3.5,257
1969-01-07,3.5,258
1969-01-08,3.5,259
1969-01-09,3.7,260
1969-01-10,3.7,261
1969-01-11,3.5,262
1969-01-12,3.5,263
1970-01-01,3.9,264
1970-01-02,4.2,265
1970-01-03,4.4,266
1970-01-04,4.6,267
1970-01-05,4.8,268
1970-01-06,4.9,269
1970-01-07,5,270
1970-01-08,5.1,271
1970-01-09,5.4,272
1970-01-10,5.5,273
1970-01-11,5.9,274
1970-01-12,6.1,275
1971-01-01,5.9,276
1971-01-02,5.9,277
1971-01-03,6,278
1971-01-04,5.9,279
1971-01-05,5.9,280
1971-01-06,5.9,281
1971-01-07,6,282
1971-01-08,6.1,283
1971-01-09,6,284
1971-01-10,5.8,285
1971-01-11,6,286
1971-01-12,6,287
1972-01-01,5.8,288
1972-01-02,5.7,289
1972-01-03,5.8,290
1972-01-04,5.7,291
1972-01-05,5.7,292
1972-01-06,5.7,293
1972-01-07,5.6,294
1972-01-08,5.6,295
1972-01-09,5.5,296
1972-01-10,5.6,297
1972-01-11,5.3,298
1972-01-12,5.2,299
1973-01-01,4.9,300
1973-01-02,5,301
1973-01-03,4.9,302
1973-01-04,5,303
1973-01-05,4.9,304
1973-01-06,4.9,305
1973-01-07,4.8,306
1973-01-08,4.8,307
1973-01-09,4.8,308
1973-01-10,4.6,309
1973-01-11,4.8,310
1973-01-12,4.9,311
1974-01-01,5.1,312
1974-01-02,5.2,313
1974-01-03,5.1,314
1974-01-04,5.1,315
1974-01-05,5.1,316
1974-01-06,5.4,317
1974-01-07,5.5,318
1974-01-08,5.5,319
1974-01-09,5.9,320
1974-01-10,6,321
1974-01-11,6.6,322
1974-01-12,7.2,323
1975-01-01,8.1,324
1975-01-02,8.1,325
1975-01-03,8.6,326
1975-01-04,8.8,327
1975-01-05,9,328
1975-01-06,8.8,329
1975-01-07,8.6,330
1975-01-08,8.4,331
1975-01-09,8.4,332
1975-01-10,8.4,333
1975-01-11,8.3,334
1975-01-12,8.2,335
1976-01-01,7.9,336
1976-01-02,7.7,337
1976-01-03,7.6,338
1976-01-04,7.7,339
1976-01-05,7.4,340
1976-01-06,7.6,341
1976-01-07,7.8,342
1976-01-08,7.8,343
1976-01-09,7.6,344
1976-01-10,7.7,345
1976-01-11,7.8,346
1976-01-12,7.8,347
1977-01-01,7.5,348
1977-01-02,7.6,349
1977-01-03,7.4,350
1977-01-04,7.2,351
1977-01-05,7,352
1977-01-06,7.2,353
1977-01-07,6.9,354
1977-01-08,7,355
1977-01-09,6.8,356
1977-01-10,6.8,357
1977-01-11,6.8,358
1977-01-12,6.4,359
1978-01-01,6.4,360
1978-01-02,6.3,361
1978-01-03,6.3,362
1978-01-04,6.1,363
1978-01-05,6,364
1978-01-06,5.9,365
1978-01-07,6.2,366
1978-01-08,5.9,367
1978-01-09,6,368
1978-01-10,5.8,369
1978-01-11,5.9,370
1978-01-12,6,371
1979-01-01,5.9,372
1979-01-02,5.9,373
1979-01-03,5.8,374
1979-01-04,5.8,375
1979-01-05,5.6,376
1979-01-06,5.7,377
1979-01-07,5.7,378
1979-01-08,6,379
1979-01-09,5.9,380
1979-01-10,6,381
1979-01-11,5.9,382
1979-01-12,6,383
1980-01-01,6.3,384
1980-01-02,6.3,385
1980-01-03,6.3,386
1980-01-04,6.9,387
1980-01-05,7.5,388
1980-01-06,7.6,389
1980-01-07,7.8,390
1980-01-08,7.7,391
1980-01-09,7.5,392
1980-01-10,7.5,393
1980-01-11,7.5,394
1980-01-12,7.2,395
1981-01-01,7.5,396
1981-01-02,7.4,397
1981-01-03,7.4,398
1981-01-04,7.2,399
1981-01-05,7.5,400
1981-01-06,7.5,401
1981-01-07,7.2,402
1981-01-08,7.4,403
1981-01-09,7.6,404
1981-01-10,7.9,405
1981-01-11,8.3,406
1981-01-12,8.5,407
1982-01-01,8.6,408
1982-01-02,8.9,409
1982-01-03,9,410
1982-01-04,9.3,411
1982-01-05,9.4,412
1982-01-06,9.6,413
1982-01-07,9.8,414
1982-01-08,9.8,415
1982-01-09,10.1,416
1982-01-10,10.4,417
1982-01-11,10.8,418
1982-01-12,10.8,419
1983-01-01,10.4,420
1983-01-02,10.4,421
1983-01-03,10.3,422
1983-01-04,10.2,423
1983-01-05,10.1,424
1983-01-06,10.1,425
1983-01-07,9.4,426
1983-01-08,9.5,427
1983-01-09,9.2,428
1983-01-10,8.8,429
1983-01-11,8.5,430
1983-01-12,8.3,431
1984-01-01,8,432
1984-01-02,7.8,433
1984-01-03,7.8,434
1984-01-04,7.7,435
1984-01-05,7.4,436
1984-01-06,7.2,437
1984-01-07,7.5,438
1984-01-08,7.5,439
1984-01-09,7.3,440
1984-01-10,7.4,441
1984-01-11,7.2,442
1984-01-12,7.3,443
1985-01-01,7.3,444
1985-01-02,7.2,445
1985-01-03,7.2,446
1985-01-04,7.3,447
1985-01-05,7.2,448
1985-01-06,7.4,449
1985-01-07,7.4,450
1985-01-08,7.1,451
1985-01-09,7.1,452
1985-01-10,7.1,453
1985-01-11,7,454
1985-01-12,7,455
1986-01-01,6.7,456
1986-01-02,7.2,457
1986-01-03,7.2,458
1986-01-04,7.1,459
1986-01-05,7.2,460
1986-01-06,7.2,461
1986-01-07,7,462
1986-01-08,6.9,463
1986-01-09,7,464
1986-01-10,7,465
1986-01-11,6.9,466
1986-01-12,6.6,467
1987-01-01,6.6,468
1987-01-02,6.6,469
1987-01-03,6.6,470
1987-01-04,6.3,471
1987-01-05,6.3,472
1987-01-06,6.2,473
1987-01-07,6.1,474
1987-01-08,6,475
1987-01-09,5.9,476
1987-01-10,6,477
1987-01-11,5.8,478
1987-01-12,5.7,479
1988-01-01,5.7,480
1988-01-02,5.7,481
1988-01-03,5.7,482
1988-01-04,5.4,483
1988-01-05,5.6,484
1988-01-06,5.4,485
1988-01-07,5.4,486
1988-01-08,5.6,487
1988-01-09,5.4,488
1988-01-10,5.4,489
1988-01-11,5.3,490
1988-01-12,5.3,491
1989-01-01,5.4,492
1989-01-02,5.2,493
1989-01-03,5,494
1989-01-04,5.2,495
1989-01-05,5.2,496
1989-01-06,5.3,497
1989-01-07,5.2,498
1989-01-08,5.2,499
1989-01-09,5.3,500
1989-01-10,5.3,501
1989-01-11,5.4,502
1989-01-12,5.4,503
1990-01-01,5.4,504
1990-01-02,5.3,505
1990-01-03,5.2,506
1990-01-04,5.4,507
1990-01-05,5.4,508
1990-01-06,5.2,509
1990-01-07,5.5,510
1990-01-08,5.7,511
1990-01-09,5.9,512
1990-01-10,5.9,513
1990-01-11,6.2,514
1990-01-12,6.3,515
1991-01-01,6.4,516
1991-01-02,6.6,517
1991-01-03,6.8,518
1991-01-04,6.7,519
1991-01-05,6.9,520
1991-01-06,6.9,521
1991-01-07,6.8,522
1991-01-08,6.9,523
1991-01-09,6.9,524
1991-01-10,7,525
1991-01-11,7,526
1991-01-12,7.3,527
1992-01-01,7.3,528
1992-01-02,7.4,529
1992-01-03,7.4,530
1992-01-04,7.4,531
1992-01-05,7.6,532
1992-01-06,7.8,533
1992-01-07,7.7,534
1992-01-08,7.6,535
1992-01-09,7.6,536
1992-01-10,7.3,537
1992-01-11,7.4,538
1992-01-12,7.4,539
1993-01-01,7.3,540
1993-01-02,7.1,541
1993-01-03,7,542
1993-01-04,7.1,543
1993-01-05,7.1,544
1993-01-06,7,545
1993-01-07,6.9,546
1993-01-08,6.8,547
1993-01-09,6.7,548
1993-01-10,6.8,549
1993-01-11,6.6,550
1993-01-12,6.5,551
1994-01-01,6.6,552
1994-01-02,6.6,553
1994-01-03,6.5,554
1994-01-04,6.4,555
1994-01-05,6.1,556
1994-01-06,6.1,557
1994-01-07,6.1,558
1994-01-08,6,559
1994-01-09,5.9,560
1994-01-10,5.8,561
1994-01-11,5.6,562
1994-01-12,5.5,563
1995-01-01,5.6,564
1995-01-02,5.4,565
1995-01-03,5.4,566
1995-01-04,5.8,567
1995-01-05,5.6,568
1995-01-06,5.6,569
1995-01-07,5.7,570
1995-01-08,5.7,571
1995-01-09,5.6,572
1995-01-10,5.5,573
1995-01-11,5.6,574
1995-01-12,5.6,575
1996-01-01,5.6,576
1996-01-02,5.5,577
1996-01-03,5.5,578
1996-01-04,5.6,579
1996-01-05,5.6,580
1996-01-06,5.3,581
1996-01-07,5.5,582
1996-01-08,5.1,583
1996-01-09,5.2,584
1996-01-10,5.2,585
1996-01-11,5.4,586
1996-01-12,5.4,587
1997-01-01,5.3,588
1997-01-02,5.2,589
1997-01-03,5.2,590
1997-01-04,5.1,591
1997-01-05,4.9,592
1997-01-06,5,593
1997-01-07,4.9,594
1997-01-08,4.8,595
1997-01-09,4.9,596
1997-01-10,4.7,597
1997-01-11,4.6,598
1997-01-12,4.7,599
1998-01-01,4.6,600
1998-01-02,4.6,601
1998-01-03,4.7,602
1998-01-04,4.3,603
1998-01-05,4.4,604
1998-01-06,4.5,605
1998-01-07,4.5,606
1998-01-08,4.5,607
1998-01-09,4.6,608
1998-01-10,4.5,609
1998-01-11,4.4,610
1998-01-12,4.4,611
1999-01-01,4.3,612
1999-01-02,4.4,613
1999-01-03,4.2,614
1999-01-04,4.3,615
1999-01-05,4.2,616
1999-01-06,4.3,617
1999-01-07,4.3,618
1999-01-08,4.2,619
1999-01-09,4.2,620
1999-01-10,4.1,621
1999-01-11,4.1,622
1999-01-12,4,623
2000-01-01,4,624
2000-01-02,4.1,625
2000-01-03,4,626
2000-01-04,3.8,627
2000-01-05,4,628
2000-01-06,4,629
2000-01-07,4,630
2000-01-08,4.1,631
2000-01-09,3.9,632
2000-01-10,3.9,633
2000-01-11,3.9,634
2000-01-12,3.9,635
2001-01-01,4.2,636
2001-01-02,4.2,637
2001-01-03,4.3,638
2001-01-04,4.4,639
2001-01-05,4.3,640
2001-01-06,4.5,641
2001-01-07,4.6,642
2001-01-08,4.9,643
2001-01-09,5,644
2001-01-10,5.3,645
2001-01-11,5.5,646
2001-01-12,5.7,647
2002-01-01,5.7,648
2002-01-02,5.7,649
2002-01-03,5.7,650
2002-01-04,5.9,651
2002-01-05,5.8,652
2002-01-06,5.8,653
2002-01-07,5.8,654
2002-01-08,5.7,655
2002-01-09,5.7,656
2002-01-10,5.7,657
2002-01-11,5.9,658
2002-01-12,6,659
2003-01-01,5.8,660
2003-01-02,5.9,661
2003-01-03,5.9,662
2003-01-04,6,663
2003-01-05,6.1,664
2003-01-06,6.3,665
2003-01-07,6.2,666
2003-01-08,6.1,667
2003-01-09,6.1,668
2003-01-10,6,669
2003-01-11,5.8,670
2003-01-12,5.7,671
2004-01-01,5.7,672
2004-01-02,5.6,673
2004-01-03,5.8,674
2004-01-04,5.6,675
2004-01-05,5.6,676
2004-01-06,5.6,677
2004-01-07,5.5,678
2004-01-08,5.4,679
2004-01-09,5.4,680
2004-01-10,5.5,681
2004-01-11,5.4,682
2004-01-12,5.4,683
2005-01-01,5.3,684
2005-01-02,5.4,685
2005-01-03,5.2,686
2005-01-04,5.2,687
2005-01-05,5.1,688
2005-01-06,5,689
2005-01-07,5,690
2005-01-08,4.9,691
2005-01-09,5,692
2005-01-10,5,693
2005-01-11,5,694
2005-01-12,4.9,695
2006-01-01,4.7,696
2006-01-02,4.8,697
2006-01-03,4.7,698
2006-01-04,4.7,699
2006-01-05,4.6,700
2006-01-06,4.6,701
2006-01-07,4.7,702
2006-01-08,4.7,703
2006-01-09,4.5,704
2006-01-10,4.4,705
2006-01-11,4.5,706
2006-01-12,4.4,707
2007-01-01,4.6,708
2007-01-02,4.5,709
2007-01-03,4.4,710
2007-01-04,4.5,711
2007-01-05,4.4,712
2007-01-06,4.6,713
2007-01-07,4.7,714
2007-01-08,4.6,715
2007-01-09,4.7,716
2007-01-10,4.7,717
2007-01-11,4.7,718
2007-01-12,5,719
2008-01-01,5,720
2008-01-02,4.9,721
2008-01-03,5.1,722
2008-01-04,5,723
2008-01-05,5.4,724
2008-01-06,5.6,725
2008-01-07,5.8,726
2008-01-08,6.1,727
2008-01-09,6.1,728
2008-01-10,6.5,729
2008-01-11,6.8,730
2008-01-12,7.3,731
2009-01-01,7.8,732
2009-01-02,8.3,733
2009-01-03,8.7,734
2009-01-04,9,735
2009-01-05,9.4,736
2009-01-06,9.5,737
2009-01-07,9.5,738
2009-01-08,9.6,739
2009-01-09,9.8,740
2009-01-10,10,741
2009-01-11,9.9,742
2009-01-12,9.9,743
2010-01-01,9.8,744
2010-01-02,9.8,745
2010-01-03,9.9,746
2010-01-04,9.9,747
2010-01-05,9.6,748
2010-01-06,9.4,749
2010-01-07,9.4,750
2010-01-08,9.5,751
2010-01-09,9.5,752
2010-01-10,9.4,753
2010-01-11,9.8,754
2010-01-12,9.3,755
2011-01-01,9.1,756
2011-01-02,9,757
2011-01-03,9,758
2011-01-04,9.1,759
2011-01-05,9,760
2011-01-06,9.1,761
2011-01-07,9,762
2011-01-08,9,763
2011-01-09,9,764
2011-01-10,8.8,765
2011-01-11,8.6,766
2011-01-12,8.5,767
2012-01-01,8.3,768
2012-01-02,8.3,769
2012-01-03,8.2,770
2012-01-04,8.2,771
2012-01-05,8.2,772
2012-01-06,8.2,773
2012-01-07,8.2,774
2012-01-08,8.1,775
2012-01-09,7.8,776
2012-01-10,7.8,777
2012-01-11,7.7,778
2012-01-12,7.9,779
2013-01-01,8,780
2013-01-02,7.7,781
2013-01-03,7.5,782
2013-01-04,7.6,783
2013-01-05,7.5,784
2013-01-06,7.5,785
2013-01-07,7.3,786
2013-01-08,7.2,787
2013-01-09,7.2,788
2013-01-10,7.2,789
2013-01-11,6.9,790
2013-01-12,6.7,791
2014-01-01,6.6,792
2014-01-02,6.7,793
2014-01-03,6.7,794
2014-01-04,6.2,795
2014-01-05,6.3,796
2014-01-06,6.1,797
2014-01-07,6.2,798
2014-01-08,6.1,799
2014-01-09,5.9,800
2014-01-10,5.7,801
2014-01-11,5.8,802
2014-01-12,5.6,803
2015-01-01,5.7,804
2015-01-02,5.5,805
2015-01-03,5.4,806
2015-01-04,5.4,807
2015-01-05,5.6,808
2015-01-06,5.3,809
2015-01-07,5.2,810
2015-01-08,5.1,811
2015-01-09,5,812
2015-01-10,5,813
2015-01-11,5.1,814
2015-01-12,5,815
2016-01-01,4.9,816
2016-01-02,4.9,817
2016-01-03,5,818
2016-01-04,5,819
2016-01-05,4.8,820
2016-01-06,4.9,821
2016-01-07,4.8,822
2016-01-08,4.9,823
2016-01-09,5,824
2016-01-10,4.9,825
2016-01-11,4.7,826
2016-01-12,4.7,827
2017-01-01,4.7,828
2017-01-02,4.6,829
2017-01-03,4.4,830
2017-01-04,4.4,831
2017-01-05,4.4,832
2017-01-06,4.3,833
2017-01-07,4.3,834
2017-01-08,4.4,835
2017-01-09,4.2,836
2017-01-10,4.1,837
2017-01-11,4.2,838
2017-01-12,4.1,839
2018-01-01,4.1,840
2018-01-02,4.1,841
2018-01-03,4,842
2018-01-04,4,843
2018-01-05,3.8,844
2018-01-06,4,845
2018-01-07,3.8,846
2018-01-08,3.8,847
2018-01-09,3.7,848
2018-01-10,3.8,849
2018-01-11,3.7,850
2018-01-12,3.9,851
2019-01-01,4,852
2019-01-02,3.8,853
2019-01-03,3.8,854
2019-01-04,3.6,855
2019-01-05,3.6,856
2019-01-06,3.7,857
2019-01-07,3.7,858
2019-01-08,3.7,859
2019-01-09,3.5,860
2019-01-10,3.6,861
2019-01-11,3.5,862
2019-01-12,3.5,863
2020-01-01,3.6,864