date,unemployment_white
1/1/54,4.5
2/1/54,4.9
3/1/54,5
4/1/54,5.5
5/1/54,5.3
6/1/54,5
7/1/54,5.3
8/1/54,5.6
9/1/54,5.9
10/1/54,5.1
11/1/54,4.7
12/1/54,4.4
1/1/55,4.5
2/1/55,4.1
3/1/55,4
4/1/55,4.3
5/1/55,3.8
6/1/55,3.7
7/1/55,3.6
8/1/55,3.6
9/1/55,3.6
10/1/55,3.7
11/1/55,3.6
12/1/55,3.7
1/1/56,3.5
2/1/56,3.6
3/1/56,3.7
4/1/56,3.6
5/1/56,3.8
6/1/56,3.7
7/1/56,3.8
8/1/56,3.4
9/1/56,3.5
10/1/56,3.4
11/1/56,3.8
12/1/56,3.8
1/1/57,3.8
2/1/57,3.6
3/1/57,3.4
4/1/57,3.5
5/1/57,3.6
6/1/57,3.7
7/1/57,3.7
8/1/57,3.7
9/1/57,3.9
10/1/57,4
11/1/57,4.6
12/1/57,4.7
1/1/58,5.2
2/1/58,5.7
3/1/58,5.9
4/1/58,6.7
5/1/58,6.7
6/1/58,6.6
7/1/58,6.8
8/1/58,6.7
9/1/58,6.4
10/1/58,6
11/1/58,5.5
12/1/58,5.5
1/1/59,5.3
2/1/59,5.2
3/1/59,4.9
4/1/59,4.7
5/1/59,4.5
6/1/59,4.4
7/1/59,4.5
8/1/59,4.6
9/1/59,4.9
10/1/59,5
11/1/59,5.3
12/1/59,4.7
1/1/60,4.6
2/1/60,4.3
3/1/60,4.8
4/1/60,4.6
5/1/60,4.6
6/1/60,4.8
7/1/60,4.9
8/1/60,5.1
9/1/60,5.1
10/1/60,5.5
11/1/60,5.5
12/1/60,5.9
1/1/61,5.9
2/1/61,6.2
3/1/61,6.2
4/1/61,6.2
5/1/61,6.3
6/1/61,6.2
7/1/61,6.3
8/1/61,5.9
9/1/61,5.9
10/1/61,5.7
11/1/61,5.4
12/1/61,5.3
1/1/62,5.1
2/1/62,4.8
3/1/62,4.8
4/1/62,4.7
5/1/62,4.8
6/1/62,4.8
7/1/62,4.8
8/1/62,5
9/1/62,5
10/1/62,4.8
11/1/62,5
12/1/62,4.8
1/1/63,5
2/1/63,5.3
3/1/63,5
4/1/63,5.1
5/1/63,5.2
6/1/63,4.9
7/1/63,5.1
8/1/63,4.8
9/1/63,4.8
10/1/63,4.8
11/1/63,5
12/1/63,5
1/1/64,5
2/1/64,4.9
3/1/64,4.9
4/1/64,4.8
5/1/64,4.5
6/1/64,4.7
7/1/64,4.3
8/1/64,4.4
9/1/64,4.5
10/1/64,4.6
11/1/64,4.3
12/1/64,4.5
1/1/65,4.3
2/1/65,4.5
3/1/65,4.3
4/1/65,4.4
5/1/65,4.2
6/1/65,4.2
7/1/65,3.9
8/1/65,4
9/1/65,3.8
10/1/65,3.8
11/1/65,3.7
12/1/65,3.6
1/1/66,3.5
2/1/66,3.4
3/1/66,3.4
4/1/66,3.3
5/1/66,3.5
6/1/66,3.4
7/1/66,3.3
8/1/66,3.3
9/1/66,3.2
10/1/66,3.3
11/1/66,3.2
12/1/66,3.3
1/1/67,3.4
2/1/67,3.3
3/1/67,3.3
4/1/67,3.4
5/1/67,3.3
6/1/67,3.5
7/1/67,3.3
8/1/67,3.4
9/1/67,3.3
10/1/67,3.5
11/1/67,3.5
12/1/67,3.4
1/1/68,3.3
2/1/68,3.4
3/1/68,3.2
4/1/68,3.1
5/1/68,3.1
6/1/68,3.4
7/1/68,3.2
8/1/68,3.2
9/1/68,3.1
10/1/68,3
11/1/68,3
12/1/68,3
1/1/69,3
2/1/69,3
3/1/69,3
4/1/69,3
5/1/69,3
6/1/69,3.1
7/1/69,3.2
8/1/69,3.1
9/1/69,3.4
10/1/69,3.4
11/1/69,3.2
12/1/69,3.3
1/1/70,3.6
2/1/70,3.8
3/1/70,4
4/1/70,4.1
5/1/70,4.4
6/1/70,4.5
7/1/70,4.6
8/1/70,4.7
9/1/70,5
10/1/70,5.2
11/1/70,5.4
12/1/70,5.6
1/1/71,5.5
2/1/71,5.3
3/1/71,5.5
4/1/71,5.4
5/1/71,5.4
6/1/71,5.5
7/1/71,5.5
8/1/71,5.6
9/1/71,5.4
10/1/71,5.4
11/1/71,5.6
12/1/71,5.4
1/1/72,5.2
2/1/72,5.1
3/1/72,5.2
4/1/72,5.3
5/1/72,5.1
6/1/72,5.1
7/1/72,5.1
8/1/72,5.1
9/1/72,5
10/1/72,5.1
11/1/72,4.7
12/1/72,4.6
1/1/73,4.5
2/1/73,4.5
3/1/73,4.4
4/1/73,4.5
5/1/73,4.3
6/1/73,4.3
7/1/73,4.2
8/1/73,4.3
9/1/73,4.3
10/1/73,4.1
11/1/73,4.3
12/1/73,4.4
1/1/74,4.6
2/1/74,4.6
3/1/74,4.5
4/1/74,4.5
5/1/74,4.6
6/1/74,4.8
7/1/74,4.9
8/1/74,5
9/1/74,5.4
10/1/74,5.4
11/1/74,6
12/1/74,6.4
1/1/75,7.4
2/1/75,7.4
3/1/75,7.8
4/1/75,8
5/1/75,8.4
6/1/75,8.1
7/1/75,8
8/1/75,7.7
9/1/75,7.7
10/1/75,7.7
11/1/75,7.6
12/1/75,7.4
1/1/76,7.2
2/1/76,6.9
3/1/76,6.9
4/1/76,6.9
5/1/76,6.7
6/1/76,6.9
7/1/76,7.1
8/1/76,7.1
9/1/76,7
10/1/76,7
11/1/76,7.1
12/1/76,7
1/1/77,6.8
2/1/77,6.9
3/1/77,6.7
4/1/77,6.4
5/1/77,6.3
6/1/77,6.4
7/1/77,6
8/1/77,6
9/1/77,6
10/1/77,5.9
11/1/77,5.8
12/1/77,5.5
1/1/78,5.5
2/1/78,5.5
3/1/78,5.4
4/1/78,5.3
5/1/78,5.2
6/1/78,5
7/1/78,5.3
8/1/78,5.1
9/1/78,5.2
10/1/78,5
11/1/78,5
12/1/78,5.2
1/1/79,5.1
2/1/79,5.1
3/1/79,5.1
4/1/79,5
5/1/79,4.8
6/1/79,4.9
7/1/79,4.9
8/1/79,5.3
9/1/79,5.2
10/1/79,5.2
11/1/79,5.2
12/1/79,5.2
1/1/80,5.5
2/1/80,5.5
3/1/80,5.6
4/1/80,6.1
5/1/80,6.6
6/1/80,6.7
7/1/80,6.9
8/1/80,6.9
9/1/80,6.6
10/1/80,6.6
11/1/80,6.5
12/1/80,6.3
1/1/81,6.7
2/1/81,6.6
3/1/81,6.5
4/1/81,6.4
5/1/81,6.6
6/1/81,6.5
7/1/81,6.3
8/1/81,6.3
9/1/81,6.6
10/1/81,6.9
11/1/81,7.3
12/1/81,7.5
1/1/82,7.6
2/1/82,7.8
3/1/82,8
4/1/82,8.3
5/1/82,8.2
6/1/82,8.5
7/1/82,8.7
8/1/82,8.7
9/1/82,9
10/1/82,9.2
11/1/82,9.6
12/1/82,9.7
1/1/83,9.1
2/1/83,9.3
3/1/83,9.1
4/1/83,8.9
5/1/83,8.8
6/1/83,8.7
7/1/83,8.2
8/1/83,8.2
9/1/83,8
10/1/83,7.7
11/1/83,7.4
12/1/83,7.1
1/1/84,6.9
2/1/84,6.8
3/1/84,6.7
4/1/84,6.7
5/1/84,6.4
6/1/84,6.2
7/1/84,6.3
8/1/84,6.4
9/1/84,6.4
10/1/84,6.3
11/1/84,6.2
12/1/84,6.3
1/1/85,6.3
2/1/85,6.2
3/1/85,6.2
4/1/85,6.3
5/1/85,6.2
6/1/85,6.5
7/1/85,6.4
8/1/85,6.2
9/1/85,6.1
10/1/85,6.1
11/1/85,5.9
12/1/85,6
1/1/86,5.7
2/1/86,6.3
3/1/86,6.2
4/1/86,6.1
5/1/86,6.2
6/1/86,6.2
7/1/86,6.1
8/1/86,5.9
9/1/86,6
10/1/86,6
11/1/86,6
12/1/86,5.8
1/1/87,5.7
2/1/87,5.7
3/1/87,5.7
4/1/87,5.4
5/1/87,5.4
6/1/87,5.4
7/1/87,5.2
8/1/87,5.1
9/1/87,5.1
10/1/87,5.2
11/1/87,5
12/1/87,4.9
1/1/88,5
2/1/88,4.9
3/1/88,4.8
4/1/88,4.6
5/1/88,4.7
6/1/88,4.6
7/1/88,4.7
8/1/88,4.8
9/1/88,4.8
10/1/88,4.7
11/1/88,4.6
12/1/88,4.6
1/1/89,4.6
2/1/89,4.3
3/1/89,4.2
4/1/89,4.5
5/1/89,4.4
6/1/89,4.5
7/1/89,4.5
8/1/89,4.5
9/1/89,4.5
10/1/89,4.5
11/1/89,4.6
12/1/89,4.6
1/1/90,4.6
2/1/90,4.6
3/1/90,4.5
4/1/90,4.7
5/1/90,4.6
6/1/90,4.5
7/1/90,4.7
8/1/90,4.9
9/1/90,5
10/1/90,5.1
11/1/90,5.3
12/1/90,5.4
1/1/91,5.6
2/1/91,5.8
3/1/91,6
4/1/91,5.9
5/1/91,6.1
6/1/91,6.2
7/1/91,6.2
8/1/91,6.2
9/1/91,6.2
10/1/91,6.2
11/1/91,6.3
12/1/91,6.5
1/1/92,6.4
2/1/92,6.5
3/1/92,6.5
4/1/92,6.5
5/1/92,6.6
6/1/92,6.9
7/1/92,6.7
8/1/92,6.7
9/1/92,6.7
10/1/92,6.5
11/1/92,6.5
12/1/92,6.5
1/1/93,6.3
2/1/93,6.2
3/1/93,6.1
4/1/93,6.1
5/1/93,6.2
6/1/93,6.2
7/1/93,6.1
8/1/93,6
9/1/93,5.9
10/1/93,6.2
11/1/93,5.7
12/1/93,5.8
1/1/94,5.7
2/1/94,5.7
3/1/94,5.7
4/1/94,5.6
5/1/94,5.2
6/1/94,5.3
7/1/94,5.3
8/1/94,5.2
9/1/94,5.1
10/1/94,5
11/1/94,4.8
12/1/94,4.8
1/1/95,4.8
2/1/95,4.7
3/1/95,4.7
4/1/95,5
5/1/95,5
6/1/95,4.9
7/1/95,4.9
8/1/95,4.9
9/1/95,4.9
10/1/95,4.9
11/1/95,5
12/1/95,4.9
1/1/96,4.9
2/1/96,4.8
3/1/96,4.8
4/1/96,4.8
5/1/96,4.9
6/1/96,4.6
7/1/96,4.7
8/1/96,4.4
9/1/96,4.5
10/1/96,4.5
11/1/96,4.6
12/1/96,4.6
1/1/97,4.5
2/1/97,4.5
3/1/97,4.4
4/1/97,4.3
5/1/97,4.1
6/1/97,4.2
7/1/97,4.2
8/1/97,4.2
9/1/97,4.2
10/1/97,4.1
11/1/97,3.9
12/1/97,3.9
1/1/98,4
2/1/98,3.9
3/1/98,4
4/1/98,3.7
5/1/98,3.8
6/1/98,3.9
7/1/98,3.8
8/1/98,3.9
9/1/98,3.9
10/1/98,3.9
11/1/98,3.8
12/1/98,3.8
1/1/99,3.8
2/1/99,3.8
3/1/99,3.6
4/1/99,3.8
5/1/99,3.7
6/1/99,3.8
7/1/99,3.7
8/1/99,3.7
9/1/99,3.6
10/1/99,3.5
11/1/99,3.5
12/1/99,3.5
1/1/00,3.4
2/1/00,3.6
3/1/00,3.5
4/1/00,3.4
5/1/00,3.5
6/1/00,3.4
7/1/00,3.5
8/1/00,3.6
9/1/00,3.5
10/1/00,3.4
11/1/00,3.5
12/1/00,3.5
1/1/01,3.6
2/1/01,3.7
3/1/01,3.7
4/1/01,3.9
5/1/01,3.8
6/1/01,4
7/1/01,4
8/1/01,4.3
9/1/01,4.3
10/1/01,4.7
11/1/01,4.9
12/1/01,5.1
1/1/02,5.1
2/1/02,5
3/1/02,5
4/1/02,5.2
5/1/02,5.1
6/1/02,5.1
7/1/02,5.2
8/1/02,5.1
9/1/02,5.1
10/1/02,5.1
11/1/02,5.1
12/1/02,5.1
1/1/03,5.2
2/1/03,5.1
3/1/03,5.1
4/1/03,5.3
5/1/03,5.4
6/1/03,5.5
7/1/03,5.4
8/1/03,5.4
9/1/03,5.3
10/1/03,5.1
11/1/03,5.2
12/1/03,5
1/1/04,5
2/1/04,4.9
3/1/04,5.1
4/1/04,5
5/1/04,4.9
6/1/04,5
7/1/04,4.7
8/1/04,4.7
9/1/04,4.6
10/1/04,4.6
11/1/04,4.6
12/1/04,4.5
1/1/05,4.5
2/1/05,4.6
3/1/05,4.5
4/1/05,4.4
5/1/05,4.4
6/1/05,4.3
7/1/05,4.2
8/1/05,4.2
9/1/05,4.4
10/1/05,4.4
11/1/05,4.3
12/1/05,4.2
1/1/06,4.1
2/1/06,4.1
3/1/06,4
4/1/06,4.1
5/1/06,4.1
6/1/06,4.1
7/1/06,4.1
8/1/06,4.1
9/1/06,3.9
10/1/06,3.9
11/1/06,4
12/1/06,3.9
1/1/07,4.2
2/1/07,4.1
3/1/07,3.8
4/1/07,4
5/1/07,3.9
6/1/07,4.1
7/1/07,4.2
8/1/07,4.2
9/1/07,4.2
10/1/07,4.1
11/1/07,4.2
12/1/07,4.4
1/1/08,4.4
2/1/08,4.4
3/1/08,4.5
4/1/08,4.4
5/1/08,4.8
6/1/08,5
7/1/08,5.2
8/1/08,5.4
9/1/08,5.4
10/1/08,5.9
11/1/08,6.2
12/1/08,6.7
1/1/09,7.1
2/1/09,7.6
3/1/09,8
4/1/09,8.1
5/1/09,8.5
6/1/09,8.7
7/1/09,8.7
8/1/09,8.9
9/1/09,8.9
10/1/09,9.2
11/1/09,9.2
12/1/09,9
1/1/10,8.8
2/1/10,8.9
3/1/10,8.9
4/1/10,9
5/1/10,8.7
6/1/10,8.6
7/1/10,8.5
8/1/10,8.6
9/1/10,8.6
10/1/10,8.6
11/1/10,8.9
12/1/10,8.5
1/1/11,8.1
2/1/11,8.1
3/1/11,8
4/1/11,8.1
5/1/11,7.9
6/1/11,8.1
7/1/11,8
8/1/11,7.9
9/1/11,7.9
10/1/11,7.9
11/1/11,7.7
12/1/11,7.5
1/1/12,7.4
2/1/12,7.4
3/1/12,7.3
4/1/12,7.4
5/1/12,7.4
6/1/12,7.3
7/1/12,7.3
8/1/12,7.2
9/1/12,7
10/1/12,6.9
11/1/12,6.8
12/1/12,6.9
1/1/13,7.1
2/1/13,6.8
3/1/13,6.7
4/1/13,6.7
5/1/13,6.7
6/1/13,6.6
7/1/13,6.5
8/1/13,6.4
9/1/13,6.3
10/1/13,6.3
11/1/13,6.1
12/1/13,5.9
1/1/14,5.7
2/1/14,5.8
3/1/14,5.8
4/1/14,5.3
5/1/14,5.4
6/1/14,5.3
7/1/14,5.3
8/1/14,5.3
9/1/14,5.1
10/1/14,4.9
11/1/14,5
12/1/14,4.7
1/1/15,4.9
2/1/15,4.7
3/1/15,4.8
4/1/15,4.7
5/1/15,4.8
6/1/15,4.6
7/1/15,4.5
8/1/15,4.4
9/1/15,4.4
10/1/15,4.4
11/1/15,4.4
12/1/15,4.4
1/1/16,4.2
2/1/16,4.3
3/1/16,4.3
4/1/16,4.4
5/1/16,4.2
6/1/16,4.3
7/1/16,4.2
8/1/16,4.3
9/1/16,4.4
10/1/16,4.4
11/1/16,4.2
12/1/16,4.2
1/1/17,4.2
2/1/17,4
3/1/17,3.9
4/1/17,3.9
5/1/17,3.8
6/1/17,3.8
7/1/17,3.7
8/1/17,3.8
9/1/17,3.7
10/1/17,3.5
11/1/17,3.7
12/1/17,3.7
1/1/18,3.5
2/1/18,3.7
3/1/18,3.6
4/1/18,3.6
5/1/18,3.5
6/1/18,3.5
7/1/18,3.3
8/1/18,3.4
9/1/18,3.3
10/1/18,3.3
11/1/18,3.4
12/1/18,3.4
1/1/19,3.5
2/1/19,3.3
3/1/19,3.4
4/1/19,3.1
5/1/19,3.3
6/1/19,3.3
7/1/19,3.3
8/1/19,3.4
9/1/19,3.2
10/1/19,3.2
11/1/19,3.2
12/1/19,3.2
1/1/20,3.1